elapsed_s,goal_x_m,goal_y_m,frontier_x_m,frontier_y_m
13.05,0.2267,-0.2935,0.4102,-0.5308
13.73,0.1136,0.7228,0.1602,1.0192
14.23,-0.6068,-0.4919,-0.8398,-0.6808
14.75,-0.5266,1.2914,-0.6398,1.5692
18.04,-0.8404,0.5000,-1.0898,0.6667
24.84,-0.0265,1.1642,-0.0018,1.4632
26.08,-1.0134,-0.7048,-1.2518,-0.8868
35.76,-0.7921,-0.0174,-1.0810,0.0632
38.79,-0.1049,1.4144,-0.1310,1.7132
44.53,-0.8171,0.4971,-1.0669,0.6632
53.07,-0.4291,0.1493,-0.6803,0.3132
53.62,-0.8797,0.9902,-1.0803,1.2132
66.02,-0.4029,-0.0984,-0.6965,-0.0368
67.14,-1.1046,0.3222,-1.3501,0.4945
78.37,-1.1574,-0.3080,-1.4482,-0.2347
79.53,-0.7526,-1.0270,-0.9692,-1.2347
80.05,-1.0044,0.8646,-1.1692,1.1153
88.30,-0.5673,0.2523,-0.8192,0.4153
88.98,-0.9153,1.6078,-1.0692,1.8653
91.68,-1.4192,-0.4874,-1.7192,-0.4847
92.27,-0.7534,-1.0262,-0.9692,-1.2347
100.58,-0.9562,0.9040,-1.1692,1.1153
104.36,-1.5206,-0.5559,-1.8192,-0.5847
109.14,-0.8938,1.6219,-1.0692,1.8653
117.22,-0.9851,0.7277,-1.2192,0.9153
122.24,-1.5193,-0.5746,-1.8192,-0.5664
129.93,-0.9459,1.6387,-1.1192,1.8836
134.57,-1.1620,0.4291,-1.4192,0.5836
