elapsed_s,x_m,y_m
11.54,0.0000,0.0000
44.16,-0.0472,-0.2010
45.08,-0.1744,-0.3569
45.26,-0.2051,-0.1504
46.66,-0.0997,0.1117
48.76,-0.1841,-0.0881
49.75,-0.1567,0.1118
52.46,-0.3665,0.1196
53.36,-0.1329,0.2091
55.26,-0.2995,0.0757
56.36,-0.2553,0.2713
61.17,-0.0141,0.2329
61.96,0.1916,0.2076
64.26,-0.1373,0.2759
65.24,-0.3415,0.3231
66.56,-0.1058,0.2934
68.46,-0.3076,0.3322
69.36,-0.0180,0.3137
74.97,0.0739,0.1262
94.48,0.0825,-0.1898
97.76,-0.0711,-0.3283
104.95,-0.0844,-0.5447
106.16,0.1288,-0.3048
108.56,0.0205,-0.0798
110.96,-0.0750,0.1236
114.37,-0.1559,0.3807
119.16,-0.2052,0.6179
127.06,-0.2389,0.8329
128.36,-0.1967,1.0441
129.66,-0.1466,0.7935
130.36,-0.2206,0.5751
