elapsed_s,x_m,y_m
7.40,0.0000,0.0000
44.00,-0.0070,-0.2135
47.36,-0.2139,-0.2143
47.58,-0.1483,-0.0077
48.56,-0.0553,0.2245
50.96,-0.1331,0.4139
51.96,0.0799,0.3060
52.26,0.3542,0.3678
53.30,0.2168,0.5567
53.86,0.0506,0.6788
55.77,-0.0795,0.8319
56.46,0.1553,0.7567
60.47,0.3501,0.3933
61.38,0.4398,0.1985
61.57,0.3052,0.5166
62.26,0.1251,0.7106
62.67,-0.0758,0.8357
63.08,-0.1814,1.0150
64.66,0.0234,0.8772
67.06,0.2307,0.8086
76.36,0.2856,0.5864
79.57,0.2394,0.7896
80.67,0.3031,0.5621
81.26,0.3927,0.3158
94.06,0.6226,0.2175
98.42,0.4146,0.2531
99.16,0.1742,0.2820
99.76,-0.0281,0.2394
100.56,0.1034,0.4519
101.16,0.2935,0.5233
103.16,0.3179,0.3198
121.76,0.1387,0.1671
123.86,-0.0439,0.0807
124.18,0.1099,0.2743
125.26,0.3680,0.4906
126.26,0.1649,0.5248
126.56,0.4772,0.6305
