elapsed_s,x_rel_m,y_rel_m,x_explored_m,y_explored_m
15.72,0.0000,0.0000,0.0000,0.0000
32.02,-0.0237,-0.0025,-0.0237,-0.0025
32.72,-0.0832,-0.0119,-0.0832,-0.0119
33.52,-0.1404,-0.0328,-0.1404,-0.0328
34.02,-0.1912,-0.0630,-0.1912,-0.0630
34.82,-0.1097,-0.0564,-0.1097,-0.0564
35.52,-0.1531,-0.0913,-0.1531,-0.0913
36.02,0.1040,-0.0070,0.1040,-0.0070
37.12,0.1239,-0.0062,0.1239,-0.0062
37.42,0.2742,0.1087,0.2742,0.1087
38.42,0.2695,0.0848,0.2695,0.0848
39.42,0.2714,0.0483,0.2714,0.0483
40.42,0.3323,0.0806,0.3323,0.0806
