elapsed_s,x_rel_raw_m,y_rel_raw_m,x_rel_smooth_m,y_rel_smooth_m,x_explored_raw_m,y_explored_raw_m,x_explored_smooth_m,y_explored_smooth_m
15.72,0.0000,0.0000,-0.0356,-0.0048,0.0000,0.0000,-0.0356,-0.0048
32.02,-0.0237,-0.0025,-0.0618,-0.0118,-0.0237,-0.0025,-0.0618,-0.0118
32.72,-0.0832,-0.0119,-0.0877,-0.0220,-0.0832,-0.0119,-0.0877,-0.0220
33.52,-0.1404,-0.0328,-0.1096,-0.0333,-0.1404,-0.0328,-0.1096,-0.0333
34.02,-0.1912,-0.0630,-0.1355,-0.0511,-0.1912,-0.0630,-0.1355,-0.0511
34.82,-0.1097,-0.0564,-0.0981,-0.0501,-0.1097,-0.0564,-0.0981,-0.0501
35.52,-0.1531,-0.0913,-0.0452,-0.0448,-0.1531,-0.0913,-0.0452,-0.0448
36.02,0.1040,-0.0070,0.0479,-0.0104,0.1040,-0.0070,0.0479,-0.0104
37.12,0.1239,-0.0062,0.1237,0.0178,0.1239,-0.0062,0.1237,0.0178
37.42,0.2742,0.1087,0.2086,0.0457,0.2742,0.1087,0.2086,0.0457
38.42,0.2695,0.0848,0.2543,0.0632,0.2695,0.0848,0.2543,0.0632
39.42,0.2714,0.0483,0.2869,0.0806,0.2714,0.0483,0.2869,0.0806
40.42,0.3323,0.0806,0.2911,0.0712,0.3323,0.0806,0.2911,0.0712
