elapsed_s,x_rel_raw_m,y_rel_raw_m,x_rel_smooth_m,y_rel_smooth_m,x_explored_raw_m,y_explored_raw_m,x_explored_smooth_m,y_explored_smooth_m
17.87,0.0000,0.0000,-0.0294,-0.0049,0.0000,0.0000,-0.0294,-0.0049
34.16,-0.0142,-0.0025,-0.0556,-0.0097,-0.0142,-0.0025,-0.0556,-0.0097
34.76,-0.0741,-0.0121,-0.0825,-0.0166,-0.0741,-0.0121,-0.0825,-0.0166
35.46,-0.1341,-0.0242,-0.0943,-0.0201,-0.1341,-0.0242,-0.0943,-0.0201
36.16,-0.1902,-0.0443,-0.1035,-0.0232,-0.1902,-0.0443,-0.1035,-0.0232
37.26,-0.0591,-0.0175,-0.0499,-0.0088,-0.0591,-0.0175,-0.0499,-0.0088
38.31,-0.0598,-0.0179,0.0095,0.0052,-0.0598,-0.0179,0.0095,0.0052
38.46,0.1938,0.0598,0.0732,0.0189,0.1938,0.0598,0.0732,0.0189
39.56,0.1626,0.0457,0.1086,0.0254,0.1626,0.0457,0.1086,0.0254
40.57,0.1285,0.0245,0.1423,0.0296,0.1285,0.0245,0.1423,0.0296
41.58,0.1180,0.0149,0.1493,0.0320,0.1180,0.0149,0.1493,0.0320
42.66,0.1084,0.0033,0.2042,0.0601,0.1084,0.0033,0.2042,0.0601
42.76,0.2291,0.0715,0.2231,0.0690,0.2291,0.0715,0.2231,0.0690
43.17,0.4369,0.1866,0.2582,0.0871,0.4369,0.1866,0.2582,0.0871
