elapsed_s,goal_x_m,goal_y_m,frontier_x_m,frontier_y_m
9.09,0.0644,0.6329,0.0948,0.9313
9.66,-1.0114,-0.2082,-1.3052,-0.2687
14.69,-0.7696,0.9956,-0.9552,1.2313
15.30,-1.6202,0.5377,-1.9052,0.6313
20.67,-2.1912,1.1889,-2.4552,1.3313
25.99,-0.2968,0.5155,-0.5052,0.7313
29.95,-0.8617,1.2521,-1.0552,1.4813
35.50,-1.5138,0.3601,-1.8052,0.4313
44.07,-1.9813,0.9090,-2.2552,1.0313
47.95,-0.3140,0.9166,-0.4552,1.1813
52.27,-1.1577,-0.2911,-1.4552,-0.3297
57.34,0.3111,0.9647,0.3448,1.2628
61.77,-2.0130,0.3950,-2.3052,0.4628
64.87,-0.4609,1.2498,-0.6052,1.5128
76.02,0.3283,0.9633,0.3448,1.2628
76.95,-2.0119,0.3997,-2.3052,0.4628
89.22,0.3202,0.9633,0.3375,1.2628
102.10,-2.0191,0.4002,-2.3125,0.4628
116.30,0.3234,0.9629,0.3280,1.2628
