elapsed_s,goal_x_m,goal_y_m,frontier_x_m,frontier_y_m
8.55,0.4678,-0.2175,0.7398,-0.3439
9.09,-0.5763,-0.1969,-0.8602,-0.2939
9.44,0.1342,0.7113,0.1898,1.0061
10.03,-1.4612,-0.1195,-1.7602,-0.1439
17.92,-0.9728,0.5148,-1.2453,0.6404
26.71,-1.4510,0.3319,-1.7453,0.3904
29.01,-0.5765,0.7795,-0.6953,0.9404
35.73,-1.5282,0.8373,-1.7019,0.9364
38.30,-0.3201,0.2836,-0.6019,0.3864
44.52,-1.0629,0.6820,-1.3019,0.8634
52.83,-1.4631,0.2822,-1.7519,0.3634
54.91,-0.6733,0.9602,-0.8019,1.1134
57.38,-1.7262,1.1179,-1.9019,1.2134
60.15,-0.3014,0.2484,-0.5519,0.4134
65.74,-1.3067,0.8406,-1.5519,1.0134
74.48,-1.7179,1.0757,-1.9519,1.2634
76.61,-0.6991,0.9418,-0.8019,1.1134
78.49,-0.3389,0.2022,-0.5519,0.4134
89.12,-1.2956,1.0957,-1.5019,1.3134
97.32,-0.7904,0.5507,-1.0019,0.7634
99.58,-1.7946,1.1399,-1.9519,1.2634
105.44,-0.3903,0.2007,-0.6019,0.4134
111.73,-0.6932,0.9455,-0.8019,1.1134
118.17,-1.7043,1.0941,-1.9519,1.2634
123.92,-0.3805,0.2109,-0.6019,0.4134
131.05,-0.9683,0.8145,-1.1019,0.9634
136.43,-1.7937,1.1410,-1.9519,1.2634
144.11,-0.3997,0.2418,-0.6019,0.4634
148.93,-0.9748,0.8090,-1.1019,0.9634
156.82,-1.7923,1.1429,-1.9519,1.2634
161.33,-0.4252,0.2210,-0.6019,0.4634
170.25,-0.7846,0.6644,-0.9519,0.9134
174.04,-1.7307,1.0608,-1.9519,1.2634
182.36,-1.4523,-0.3742,-1.6519,-0.3866
190.62,-0.6565,-0.3942,-0.8519,-0.4366
194.31,-1.7328,1.0585,-1.9519,1.2634
202.89,-1.2530,-0.4154,-1.4519,-0.4366
215.42,-1.7258,1.0663,-1.9519,1.2634
217.30,-0.5576,-0.3895,-0.7519,-0.4366
227.33,-1.1034,-0.4122,-1.3019,-0.4366
229.68,-1.7212,1.0716,-1.9519,1.2634
242.45,-1.1034,-0.4121,-1.3019,-0.4366
