elapsed_s,x_m,y_m
12.17,0.0000,0.0000
40.19,-0.1470,-0.1495
41.78,-0.3061,-0.0080
44.88,-0.0810,-0.0555
58.68,0.0827,-0.2032
59.90,-0.0815,-0.0697
63.36,-0.2433,0.0781
64.18,0.0040,-0.1762
67.38,0.2487,-0.3172
68.59,-0.0212,-0.2188
69.33,-0.2157,-0.1248
71.73,0.1089,-0.2606
78.18,0.2932,-0.3397
81.08,0.1002,-0.2599
81.78,-0.1305,-0.1949
85.58,-0.3425,-0.1462
86.80,-0.5513,-0.0915
88.49,-0.3122,-0.1208
89.58,-0.1167,-0.1632
91.38,-0.2423,-0.0068
92.20,-0.0628,-0.1304
92.68,0.1146,-0.2390
93.88,0.2878,-0.3829
95.18,0.1287,-0.2557
100.29,-0.0685,-0.3021
101.48,-0.0001,-0.5034
102.48,0.0159,-0.2626
105.18,-0.1659,-0.1069
106.48,-0.2919,0.0929
108.18,-0.4485,0.3091
109.98,-0.2762,0.2049
119.88,-0.2224,0.4061
121.98,-0.1427,0.2121
124.08,-0.1755,-0.0203
124.99,-0.3256,-0.3332
129.26,-0.1846,-0.1902
130.78,-0.0051,-0.0852
132.08,0.1908,-0.0388
152.68,0.4067,-0.0322
153.89,0.6225,-0.0461
154.88,0.3870,-0.0479
155.49,0.1702,-0.0720
156.28,-0.0664,-0.0469
158.09,-0.0493,-0.2609
160.39,-0.1777,-0.0684
160.88,-0.1899,0.1850
161.68,-0.1789,0.4246
