elapsed_s,area_m2,percent_known,known_cells,total_cells
2.25,2.833,50.09,1133,2262
4.39,2.833,50.09,1133,2262
6.88,2.833,50.09,1133,2262
8.50,2.833,50.09,1133,2262
10.22,2.833,50.09,1133,2262
12.14,2.833,50.09,1133,2262
13.61,2.833,50.09,1133,2262
15.54,2.833,50.09,1133,2262
17.09,2.833,50.09,1133,2262
19.08,2.833,50.09,1133,2262
21.25,2.833,50.09,1133,2262
23.07,2.833,50.09,1133,2262
25.07,2.833,50.09,1133,2262
27.06,2.833,50.09,1133,2262
29.07,2.833,50.09,1133,2262
31.08,2.833,50.09,1133,2262
33.07,2.833,50.09,1133,2262
35.09,3.583,63.35,1433,2262
37.08,3.583,63.35,1433,2262
39.18,4.080,59.45,1632,2745
41.07,4.198,61.17,1679,2745
43.06,4.320,62.95,1728,2745
45.07,4.375,63.75,1750,2745
47.11,4.390,63.97,1756,2745
49.07,4.395,64.04,1758,2745
51.13,4.395,64.04,1758,2745
53.07,4.425,64.48,1770,2745
55.50,4.438,64.66,1775,2745
57.23,4.493,65.46,1797,2745
59.07,4.493,65.46,1797,2745
61.10,4.520,65.87,1808,2745
63.07,4.663,67.94,1865,2745
65.07,4.690,68.34,1876,2745
67.29,4.690,68.34,1876,2745
69.11,4.700,68.49,1880,2745
71.10,4.723,68.82,1889,2745
73.07,4.730,68.93,1892,2745
75.08,4.730,68.93,1892,2745
77.09,4.730,68.93,1892,2745
79.30,4.738,69.03,1895,2745
81.07,4.743,69.11,1897,2745
83.08,4.743,69.11,1897,2745
85.14,4.743,69.11,1897,2745
87.07,4.743,69.11,1897,2745
89.17,4.743,69.11,1897,2745
91.18,4.743,69.11,1897,2745
93.76,4.743,69.11,1897,2745
95.14,4.743,69.11,1897,2745
97.12,4.743,69.11,1897,2745
99.21,4.743,69.11,1897,2745
101.24,5.575,64.98,2230,3432
103.13,5.645,65.79,2258,3432
105.15,6.023,70.19,2409,3432
107.09,6.055,70.57,2422,3432
109.47,6.105,67.27,2442,3630
111.11,6.118,67.41,2447,3630
113.08,6.118,67.41,2447,3630
115.08,6.118,67.41,2447,3630
117.09,6.118,67.41,2447,3630
119.09,6.118,67.41,2447,3630
121.28,6.125,67.49,2450,3630
123.21,6.138,67.63,2455,3630
125.21,6.143,67.69,2457,3630
127.18,6.143,67.69,2457,3630
129.10,6.145,67.71,2458,3630
131.13,6.150,67.77,2460,3630
133.08,6.150,67.77,2460,3630
135.10,6.150,67.77,2460,3630
137.11,6.150,67.77,2460,3630
139.11,6.150,67.77,2460,3630
141.08,6.150,67.77,2460,3630
143.10,6.150,67.77,2460,3630
145.09,6.150,67.77,2460,3630
147.11,6.150,67.77,2460,3630
149.08,6.150,67.77,2460,3630
151.11,6.150,67.77,2460,3630
153.15,6.163,67.91,2465,3630
155.13,6.168,67.96,2467,3630
157.10,6.168,67.96,2467,3630
159.11,6.170,67.99,2468,3630
161.11,6.190,68.21,2476,3630
