elapsed_s,x_rel_m,y_rel_m
10.99,0.0000,0.0000
34.70,-0.0141,-0.0006
35.30,-0.0685,-0.0046
35.93,-0.1222,-0.0101
36.60,-0.1763,-0.0169
37.51,-0.1092,-0.0121
37.71,0.0369,0.0021
38.72,0.0596,0.0042
39.82,0.0427,0.0023
40.72,-0.0113,-0.0115
41.51,-0.0601,-0.0424
41.90,-0.1053,-0.0857
42.50,-0.1346,-0.1376
42.81,0.1300,-0.1012
43.00,0.3307,-0.0777
43.50,0.3143,-0.1381
43.71,0.4384,-0.0370
44.14,0.5079,0.0101
44.68,0.5063,-0.0558
45.01,0.6514,0.1704
45.56,0.6657,0.1060
46.30,0.6971,0.3304
47.42,0.6770,0.3743
47.50,0.6546,0.4369
47.94,0.6285,0.3799
48.99,0.5974,0.4081
49.31,0.5721,0.3494
49.91,0.6211,0.3691
50.80,0.5998,0.3069
51.80,0.6177,0.5014
52.30,0.5872,0.4550
52.90,0.5591,0.4053
