elapsed_s,x_m,y_m
9.60,0.0000,0.0000
63.86,0.2572,-0.0241
68.17,0.0924,-0.1493
69.16,-0.1296,-0.1322
71.16,-0.3433,-0.0362
71.51,-0.4586,0.1305
74.40,-0.5140,0.3243
77.96,-0.4760,0.5357
78.86,-0.3529,0.6936
85.76,-0.1893,0.8195
93.13,-0.3562,0.7025
95.07,-0.5323,0.5804
96.66,-0.8436,0.3545
99.16,-1.2300,0.1827
99.26,-1.7087,0.1670
99.60,-0.8802,0.6143
99.96,-0.3920,0.9061
100.22,0.2197,0.8661
100.76,0.0491,0.7557
101.70,-0.1365,0.6467
125.76,-0.2478,0.8933
127.66,-0.0782,0.7392
128.46,0.0004,0.5549
