elapsed_s,x_m,y_m
8.42,0.0000,0.0000
25.43,-0.0985,-0.2098
27.02,-0.3116,-0.1280
28.02,-0.1555,0.0891
30.42,-0.3690,0.1288
30.82,-0.1660,0.1636
32.81,-0.2888,0.3276
34.32,-0.0447,0.2971
36.22,-0.2365,0.3575
37.41,0.0844,0.2413
66.02,0.2456,0.1219
71.21,0.2759,-0.0775
73.91,0.1623,0.0910
79.32,0.0663,0.2833
80.52,0.0421,0.4968
81.31,0.1565,0.2159
87.52,0.3550,0.1687
88.41,0.2273,-0.0534
89.21,0.1106,-0.2232
95.02,0.2485,-0.0663
97.81,0.5011,-0.0887
98.21,0.0385,-0.3358
98.61,-0.1405,-0.4260
99.11,-0.3322,-0.5380
99.71,-0.5169,-0.6962
100.21,-0.3055,-0.5747
100.31,-0.0703,-0.4041
175.92,0.1295,-0.3553
177.32,0.3749,-0.4256
178.91,0.1548,-0.4113
183.03,0.2846,-0.5846
184.42,0.0876,-0.4725
185.41,-0.0422,-0.3014
190.91,0.0721,-0.4692
193.71,-0.0722,-0.3008
