elapsed_s,x_m,y_m
9.34,0.0000,0.0000
23.02,0.2039,0.0107
28.02,0.0408,0.1450
28.65,-0.2274,0.0322
29.22,-0.4837,-0.1700
30.42,-0.5896,-0.3704
30.93,-0.6473,-0.5983
31.53,-0.6573,-0.8080
32.22,-0.6736,-1.0131
35.12,-0.7077,-0.7887
35.32,-0.6333,-0.5544
40.12,-0.4958,-0.4080
41.32,-0.3560,-0.2435
41.92,-0.5267,-0.4485
42.92,-0.6691,-0.6024
46.72,-0.8530,-0.7824
48.52,-0.6321,-0.5716
54.53,-0.5024,-0.4181
56.22,-0.6331,-0.5777
59.92,-0.4512,-0.4600
61.02,-0.6132,-0.5850
61.72,-0.7855,-0.7200
68.93,-0.6395,-0.5694
74.22,-0.4806,-0.7427
76.12,-0.6602,-0.6431
83.22,-0.7884,-0.8300
84.92,-0.9038,-0.6602
87.22,-0.9063,-0.4543
102.12,-0.9581,-0.6483
103.72,-0.9181,-0.4488
104.82,-0.8711,-0.2535
106.92,-0.9159,-0.4948
134.22,-0.9520,-0.7086
135.43,-0.9202,-0.4506
139.12,-0.9725,-0.6591
140.22,-0.9880,-0.8663
141.72,-0.9850,-0.6152
142.62,-0.9139,-0.4183
155.52,-1.0148,-0.6088
157.22,-0.9071,-0.4198
167.18,-1.0239,-0.5888
169.62,-0.9088,-0.4193
176.62,-1.0278,-0.5916
178.72,-0.8688,-0.3862
181.52,-1.0211,-0.5259
