elapsed_s,area_m2,percent_known,known_cells,total_cells
1.22,4.705,83.20,1882,2262
2.78,4.705,83.20,1882,2262
5.04,4.705,83.20,1882,2262
7.63,4.705,83.20,1882,2262
8.63,4.705,83.20,1882,2262
10.72,4.705,83.20,1882,2262
12.34,4.705,83.20,1882,2262
14.53,4.705,83.20,1882,2262
16.09,4.705,83.20,1882,2262
17.97,4.705,83.20,1882,2262
20.08,4.705,83.20,1882,2262
21.96,4.705,83.20,1882,2262
23.97,4.705,83.20,1882,2262
25.94,4.705,83.20,1882,2262
28.01,4.705,83.20,1882,2262
29.97,4.705,83.20,1882,2262
32.05,4.705,83.20,1882,2262
33.97,4.705,83.20,1882,2262
35.94,4.705,83.20,1882,2262
37.95,4.705,83.20,1882,2262
39.98,4.705,83.20,1882,2262
41.98,4.705,83.20,1882,2262
43.94,4.705,83.20,1882,2262
45.95,4.705,83.20,1882,2262
47.94,4.705,83.20,1882,2262
50.62,5.148,91.03,2059,2262
51.95,5.148,91.03,2047,2262
54.24,5.148,91.03,2052,2262
55.99,5.148,91.03,2054,2262
57.97,5.148,91.03,2054,2262
59.95,5.148,91.03,2054,2262
61.96,5.148,91.03,2054,2262
64.08,5.165,91.34,2066,2262
65.95,5.195,91.87,2078,2262
68.26,5.280,91.79,2112,2301
70.35,5.280,91.79,2112,2301
72.14,5.280,91.79,2112,2301
73.95,5.280,91.79,2112,2301
75.96,5.280,91.79,2112,2301
78.79,5.280,91.79,2105,2301
80.62,5.295,92.05,2118,2301
81.96,5.295,92.05,2118,2301
83.99,5.295,92.05,2118,2301
85.97,5.295,92.05,2118,2301
88.11,5.295,92.05,2118,2301
90.03,5.295,92.05,2118,2301
91.97,5.295,92.05,2118,2301
94.66,5.310,92.31,2124,2301
96.00,5.310,92.31,2124,2301
98.70,5.343,90.55,2137,2360
100.80,5.355,90.76,2142,2360
101.96,5.355,90.76,2142,2360
103.95,5.355,90.76,2142,2360
105.95,5.355,90.76,2142,2360
108.15,5.438,25.82,2175,8424
109.97,5.450,25.88,2180,8424
112.21,5.473,25.63,2189,8541
114.25,5.535,25.92,2214,8541
115.96,5.535,25.92,2214,8541
117.98,5.535,25.92,2214,8541
120.53,5.558,26.03,2223,8541
122.14,5.558,26.03,2216,8541
124.26,5.565,26.06,2226,8541
126.59,5.613,26.28,2245,8541
128.66,5.628,26.36,2251,8541
129.96,5.628,26.36,2251,8541
131.96,5.628,26.36,2251,8541
133.96,5.628,26.36,2251,8541
136.35,5.700,26.47,2280,8614
137.96,5.723,26.35,2289,8687
140.59,5.753,26.49,2301,8687
142.03,5.788,26.65,2315,8687
143.95,5.788,26.65,2315,8687
146.66,5.790,26.30,2316,8806
148.57,5.795,26.32,2318,8806
150.09,5.808,26.38,2323,8806
151.96,5.815,26.41,2326,8806
154.19,5.818,26.43,2327,8806
156.69,5.818,26.43,2327,8806
158.84,5.823,26.45,2329,8806
160.50,5.830,26.48,2332,8806
162.34,5.830,26.48,2332,8806
163.96,5.830,26.48,2332,8806
166.01,5.830,26.48,2332,8806
167.98,5.830,26.48,2332,8806
170.09,5.830,26.48,2332,8806
171.99,5.830,26.48,2332,8806
173.97,5.830,26.48,2332,8806
176.03,5.855,26.60,2342,8806
178.13,5.860,26.40,2344,8880
180.31,5.860,26.40,2344,8880
182.00,5.860,26.40,2344,8880
183.96,5.860,26.40,2344,8880
186.00,5.860,26.40,2344,8880
187.98,5.860,26.40,2344,8880
189.96,5.860,26.40,2344,8880
191.98,5.860,26.40,2344,8880
193.97,5.860,26.40,2344,8880
196.07,5.870,26.44,2348,8880
198.04,5.875,26.46,2350,8880
200.13,5.883,26.50,2353,8880
202.30,5.900,26.58,2360,8880
203.97,5.900,26.58,2360,8880
206.00,5.913,26.63,2365,8880
207.99,5.913,26.63,2365,8880
209.98,5.913,26.63,2365,8880
212.09,5.920,26.67,2368,8880
213.96,5.925,26.69,2370,8880
216.44,5.928,26.70,2371,8880
218.07,5.928,26.70,2371,8880
220.00,5.928,26.70,2371,8880
221.97,5.928,26.70,2371,8880
223.98,5.928,26.70,2371,8880
226.39,5.930,26.71,2372,8880
227.99,5.930,26.71,2372,8880
230.73,5.930,26.71,2372,8880
232.33,5.938,26.75,2375,8880
233.99,5.938,26.75,2375,8880
236.01,5.938,26.75,2375,8880
238.03,5.938,26.75,2375,8880
240.04,5.940,26.76,2376,8880
241.98,5.950,26.80,2380,8880
244.77,5.980,26.94,2392,8880
246.44,6.018,27.11,2407,8880
248.28,6.033,27.17,2413,8880
249.99,6.060,27.30,2424,8880
251.98,6.060,27.30,2424,8880
254.55,6.085,27.41,2434,8880
256.43,6.095,27.45,2438,8880
258.23,6.095,27.09,2435,9000
260.41,6.113,27.17,2445,9000
261.98,6.133,27.26,2453,9000
264.02,6.133,27.26,2453,9000
266.51,6.135,27.27,2454,9000
268.70,6.188,27.27,2475,9075
270.86,6.225,27.44,2490,9075
272.11,6.228,27.09,2491,9196
274.02,6.280,25.89,2512,9702
276.51,6.280,25.89,2500,9702
278.66,6.280,25.89,2506,9702
280.55,6.280,25.89,2507,9702
282.00,6.283,25.90,2513,9702
284.31,6.300,25.97,2520,9702
286.68,6.300,25.97,2520,9702
288.10,6.300,25.97,2520,9702
290.37,6.308,26.00,2523,9702
291.99,6.308,26.00,2523,9702
294.70,6.308,26.00,2523,9702
296.70,6.308,26.00,2523,9702
298.62,6.310,26.02,2524,9702
300.06,6.310,26.02,2524,9702
302.00,6.323,25.73,2529,9828
304.03,6.323,25.73,2529,9828
306.61,6.323,25.73,2529,9828
308.03,6.323,25.73,2529,9828
310.10,6.323,25.73,2529,9828
312.00,6.323,25.73,2529,9828
314.05,6.323,25.73,2529,9828
316.03,6.323,25.73,2529,9828
318.20,6.323,25.73,2529,9828
320.00,6.323,25.73,2529,9828
322.03,6.323,25.73,2529,9828
324.19,6.323,25.73,2529,9828
326.00,6.323,25.73,2529,9828
327.99,6.323,25.73,2529,9828
330.09,6.323,25.73,2529,9828
332.24,6.323,25.73,2529,9828
