elapsed_s,goal_x_m,goal_y_m,frontier_x_m,frontier_y_m
6.34,-0.4009,0.4257,-0.6066,0.6441
6.95,0.3427,0.9615,0.4434,1.2441
8.14,-1.3742,0.4928,-1.6566,0.5941
13.09,-1.9965,1.1447,-2.2566,1.2941
14.71,-0.4699,0.9270,-0.6066,1.1941
20.42,0.2575,0.5266,0.3934,0.7941
28.01,-1.6670,-0.3013,-1.9604,-0.3643
28.46,-1.2626,1.4601,-1.4604,1.6857
32.49,-0.3077,0.6743,-0.1604,0.9357
37.64,-1.7110,1.3115,-1.9104,1.5357
41.49,0.4790,0.7370,0.7396,0.8857
46.52,-1.0916,1.3475,-1.1750,1.6357
50.50,-0.3306,0.6792,-0.1750,0.9357
55.42,-1.7277,1.3097,-1.9250,1.5357
59.24,0.3817,0.3229,0.6750,0.3857
59.80,-0.3247,1.2527,-0.2250,1.5357
63.72,-0.7336,-0.7953,-0.6750,-1.0895
64.22,-1.2142,1.4167,-1.2750,1.7105
68.12,0.4168,1.0077,0.6750,1.1605
72.53,-0.3009,-0.4421,-0.0750,-0.6395
79.22,-1.4832,-0.2251,-1.6250,-0.4895
80.40,-1.2964,1.2618,-1.3250,1.5605
81.21,-0.4513,-0.9468,-0.2750,-1.1895
82.40,0.3832,0.3177,0.6750,0.3872
82.94,-0.3142,1.4714,-0.1750,1.7372
83.53,0.4146,-0.8140,0.6750,-0.9628
