elapsed_s,goal_x_m,goal_y_m,frontier_x_m,frontier_y_m
20.10,0.3384,0.4490,0.5189,0.6885
20.63,-0.8671,-0.4688,-1.1311,-0.6115
21.29,-0.9172,0.4959,-1.1811,0.6385
25.14,-1.6742,-0.8280,-1.9412,-0.9649
28.24,-1.7591,0.6342,-2.0491,0.7112
29.69,-0.8739,-1.1022,-1.1088,-1.2888
38.07,-1.1312,0.8658,-1.3588,1.0612
38.54,-0.4679,-1.3108,-0.6088,-1.5757
39.26,0.5042,-1.5411,0.6912,-1.7757
41.47,0.6530,0.3064,0.9016,0.4743
44.18,-2.2625,-0.2650,-2.5599,-0.2257
53.01,-1.0717,0.7131,-1.3099,0.8954
54.43,0.6282,-1.4610,0.6901,-1.7546
63.70,1.1107,-0.8460,1.3901,-0.9552
64.29,-0.0726,-1.9182,-0.1599,-2.2052
67.10,-1.0923,0.6883,-1.3099,0.8948
72.59,-0.7355,-1.9625,-0.9099,-2.2065
73.28,-2.0102,-0.2441,-2.3099,-0.2565
76.09,0.6839,-1.4566,0.6901,-1.7565
82.10,-2.5601,-0.1447,-2.8599,-0.1565
205.91,-2.0539,-0.2000,-2.3419,-0.2843
