elapsed_s,x_rel_raw_m,y_rel_raw_m,x_rel_smooth_m,y_rel_smooth_m,x_explored_raw_m,y_explored_raw_m,x_explored_smooth_m,y_explored_smooth_m
19.55,0.0000,0.0000,-0.0057,-0.0006,0.0000,0.0000,-0.0057,-0.0006
37.55,-0.0007,-0.0001,-0.0220,-0.0014,-0.0007,-0.0001,-0.0220,-0.0014
42.96,-0.0163,-0.0017,-0.0424,-0.0006,-0.0163,-0.0017,-0.0424,-0.0006
43.55,-0.0710,-0.0041,-0.0776,0.0033,-0.0710,-0.0041,-0.0776,0.0033
44.15,-0.1241,0.0027,-0.1221,0.0124,-0.1241,0.0027,-0.1221,0.0124
44.79,-0.1757,0.0194,-0.1363,0.0215,-0.1757,0.0194,-0.1363,0.0215
45.64,-0.2232,0.0457,-0.1205,0.0300,-0.2232,0.0457,-0.1205,0.0300
45.85,-0.0874,0.0436,-0.0656,0.0321,-0.0874,0.0436,-0.0656,0.0321
46.00,0.0080,0.0383,-0.0000,0.0423,0.0080,0.0383,-0.0000,0.0423
47.01,0.1502,0.0136,0.0984,0.0238,0.1502,0.0136,0.0984,0.0238
47.80,0.1523,0.0700,0.1646,0.0172,0.1523,0.0700,0.1646,0.0172
48.77,0.2687,-0.0464,0.2295,-0.0198,0.2687,-0.0464,0.2295,-0.0198
48.95,0.2437,0.0103,0.2591,-0.0407,0.2437,0.0103,0.2591,-0.0407
49.76,0.3326,-0.1467,0.3094,-0.1148,0.3326,-0.1467,0.3094,-0.1148
50.36,0.2980,-0.0906,0.3280,-0.1560,0.2980,-0.0906,0.3280,-0.1560
50.75,0.4039,-0.3004,0.3613,-0.2270,0.4039,-0.3004,0.3613,-0.2270
51.36,0.3618,-0.2527,0.3870,-0.2845,0.3618,-0.2527,0.3870,-0.2845
51.76,0.4104,-0.3448,0.4141,-0.3469,0.4104,-0.3448,0.4141,-0.3469
51.95,0.4610,-0.4340,0.4537,-0.4020,0.4610,-0.4340,0.4537,-0.4020
53.10,0.4333,-0.4027,0.4961,-0.4548,0.4333,-0.4027,0.4961,-0.4548
53.35,0.6022,-0.5757,0.5372,-0.4986,0.6022,-0.5757,0.5372,-0.4986
53.75,0.5734,-0.5171,0.5738,-0.5374,0.5734,-0.5171,0.5738,-0.5374
54.57,0.6163,-0.5634,0.6332,-0.6206,0.6163,-0.5634,0.6332,-0.6206
55.35,0.6439,-0.6283,0.6615,-0.6788,0.6439,-0.6283,0.6615,-0.6788
