elapsed_s,area_m2,percent_known,known_cells,total_cells
3.18,3.833,64.96,1533,2360
4.49,3.833,64.96,1533,2360
6.25,3.833,64.96,1533,2360
7.10,3.833,64.96,1533,2360
7.96,3.833,64.96,1533,2360
9.20,3.833,64.96,1533,2360
10.35,3.833,64.96,1533,2360
10.94,3.833,64.96,1533,2360
11.93,3.833,64.96,1533,2360
12.80,3.833,64.96,1533,2360
13.85,3.833,64.96,1533,2360
14.62,3.833,64.96,1533,2360
15.67,3.833,64.96,1533,2360
16.32,3.833,64.96,1533,2360
17.49,3.833,64.96,1533,2360
18.31,3.833,64.96,1533,2360
19.31,3.833,64.96,1533,2360
20.30,3.833,64.96,1533,2360
21.35,3.833,64.96,1533,2360
22.32,3.833,64.96,1533,2360
23.41,3.833,64.96,1533,2360
24.32,3.833,64.96,1533,2360
25.37,3.833,64.96,1533,2360
26.31,3.833,64.96,1533,2360
27.33,3.833,64.96,1533,2360
28.32,3.833,64.96,1533,2360
29.32,3.833,64.96,1533,2360
30.34,3.833,64.96,1533,2360
31.30,3.833,64.96,1533,2360
32.31,3.833,64.96,1533,2360
33.32,3.833,64.96,1533,2360
34.34,3.833,64.96,1533,2360
35.37,3.833,64.96,1533,2360
36.52,3.833,64.96,1533,2360
37.32,3.833,64.96,1533,2360
38.31,3.833,64.96,1533,2360
39.39,3.833,64.96,1533,2360
40.31,3.833,64.96,1533,2360
41.32,3.833,64.96,1533,2360
42.32,3.833,64.96,1533,2360
43.35,3.833,64.96,1533,2360
44.57,4.270,71.17,1708,2400
45.65,4.308,71.79,1723,2400
46.30,4.308,71.79,1723,2400
47.32,4.573,76.21,1829,2400
48.41,4.933,82.21,1973,2400
49.67,5.163,86.04,2065,2400
50.36,5.298,86.14,2119,2460
51.31,5.298,86.14,2119,2460
52.31,5.325,86.59,2130,2460
53.34,5.333,86.71,2133,2460
54.37,5.348,86.95,2139,2460
55.32,5.348,86.95,2139,2460
56.32,5.393,87.68,2157,2460
57.32,5.393,87.68,2157,2460
58.31,5.403,87.85,2161,2460
59.32,5.403,87.85,2161,2460
60.32,5.403,87.85,2161,2460
61.30,5.403,87.85,2161,2460
62.31,5.403,87.85,2161,2460
63.32,5.465,86.75,2186,2520
64.31,5.465,86.75,2186,2520
65.33,5.465,86.75,2186,2520
66.31,5.465,86.75,2186,2520
67.32,5.465,86.75,2186,2520
68.31,5.485,87.06,2194,2520
69.32,5.485,87.06,2194,2520
70.31,5.485,87.06,2194,2520
71.31,5.485,87.06,2194,2520
72.31,5.485,87.06,2194,2520
73.32,5.485,87.06,2194,2520
74.31,5.485,87.06,2194,2520
75.39,5.495,87.22,2198,2520
76.31,5.503,87.34,2201,2520
77.31,5.503,87.34,2201,2520
78.31,5.503,87.34,2201,2520
79.31,5.515,87.54,2206,2520
80.34,5.518,62.31,2207,3542
81.32,5.518,62.31,2207,3542
82.31,5.518,62.31,2207,3542
83.39,5.518,62.31,2207,3542
84.33,5.520,62.34,2208,3542
85.41,5.520,62.34,2208,3542
86.97,5.523,62.37,2209,3542
87.38,5.523,62.37,2209,3542
88.38,5.523,62.37,2209,3542
89.33,5.523,62.37,2209,3542
90.31,5.523,62.37,2209,3542
91.59,5.535,62.51,2214,3542
92.66,5.535,62.51,2214,3542
93.43,5.553,62.70,2221,3542
94.59,5.553,62.70,2221,3542
95.33,5.553,62.70,2221,3542
96.33,5.553,62.70,2221,3542
97.33,5.553,62.70,2221,3542
98.34,5.553,62.70,2221,3542
99.31,5.553,62.70,2221,3542
100.31,5.553,62.70,2221,3542
101.31,5.553,62.70,2221,3542
102.36,5.553,62.70,2221,3542
103.32,5.553,62.70,2221,3542
104.35,5.553,62.70,2221,3542
105.32,5.553,62.70,2221,3542
106.40,5.553,62.70,2221,3542
107.33,5.553,62.70,2221,3542
108.32,5.553,62.70,2221,3542
109.31,5.553,62.70,2221,3542
110.31,5.553,62.70,2221,3542
111.33,5.553,62.70,2221,3542
112.32,5.553,62.70,2221,3542
113.33,5.558,62.76,2223,3542
114.33,5.558,62.76,2223,3542
115.31,5.558,62.76,2223,3542
116.38,5.558,62.76,2223,3542
117.37,5.558,62.76,2223,3542
118.32,5.558,62.76,2223,3542
119.31,5.558,62.76,2223,3542
120.31,5.558,62.76,2223,3542
121.35,5.558,62.76,2223,3542
122.31,5.558,62.76,2223,3542
123.32,5.558,62.76,2223,3542
124.33,5.558,62.76,2223,3542
125.32,5.558,62.76,2223,3542
126.32,5.558,62.76,2223,3542
127.33,5.558,62.76,2223,3542
128.31,5.558,62.76,2223,3542
129.32,5.563,62.82,2225,3542
130.32,5.563,62.82,2225,3542
