elapsed_s,x_rel_raw_m,y_rel_raw_m,x_rel_smooth_m,y_rel_smooth_m,x_explored_raw_m,y_explored_raw_m,x_explored_smooth_m,y_explored_smooth_m
19.56,0.0000,0.0000,-0.0083,-0.0007,0.0000,0.0000,-0.0083,-0.0007
23.94,-0.0049,-0.0002,-0.0148,-0.0021,-0.0049,-0.0002,-0.0148,-0.0021
25.03,-0.0199,-0.0018,-0.0222,-0.0049,-0.0199,-0.0018,-0.0222,-0.0049
26.16,-0.0343,-0.0064,-0.0350,-0.0098,-0.0343,-0.0064,-0.0350,-0.0098
27.24,-0.0518,-0.0160,-0.0491,-0.0167,-0.0518,-0.0160,-0.0491,-0.0167
28.33,-0.0641,-0.0246,-0.0628,-0.0262,-0.0641,-0.0246,-0.0628,-0.0262
29.34,-0.0754,-0.0345,0.0206,0.0137,-0.0754,-0.0345,0.0206,0.0137
30.42,-0.0886,-0.0495,0.1197,0.0598,-0.0886,-0.0495,0.1197,0.0598
31.46,0.3826,0.1929,0.2133,0.0957,0.3826,0.1929,0.2133,0.0957
31.84,0.4438,0.2145,0.3395,0.1665,0.4438,0.2145,0.3395,0.1665
32.42,0.4042,0.1550,0.4834,0.2562,0.4042,0.1550,0.4834,0.2562
33.29,0.5555,0.3197,0.5269,0.2837,0.5555,0.3197,0.5269,0.2837
33.62,0.6306,0.3987,0.5819,0.3391,0.6306,0.3987,0.5819,0.3391
34.12,0.6002,0.3307,0.6500,0.4164,0.6002,0.3307,0.6500,0.4164
34.83,0.7189,0.4916,0.7052,0.4955,0.7189,0.4916,0.7052,0.4955
35.94,0.7449,0.5412,0.7541,0.5892,0.7449,0.5412,0.7541,0.5892
36.12,0.8315,0.7151,0.8150,0.7179,0.8315,0.7151,0.8150,0.7179
36.82,0.8749,0.8671,0.8522,0.8300,0.8749,0.8671,0.8522,0.8300
37.12,0.9048,0.9743,0.8833,0.9469,0.9048,0.9743,0.8833,0.9469
38.12,0.9051,1.0523,0.8951,1.0441,0.9051,1.0523,0.8951,1.0441
38.82,0.9004,1.1256,0.8998,1.0967,0.9004,1.1256,0.8998,1.0967
39.42,0.8902,1.2011,0.8984,1.1388,0.8902,1.2011,0.8984,1.1388
39.83,0.8987,1.1304,0.8963,1.1772,0.8987,1.1304,0.8963,1.1772
40.13,0.8976,1.1848,0.8974,1.1878,0.8976,1.1848,0.8974,1.1878
40.42,0.8944,1.2443,0.9004,1.1970,0.8944,1.2443,0.9004,1.1970
40.82,0.9062,1.1783,0.9009,1.2137,0.9062,1.1783,0.9009,1.2137
41.16,0.9052,1.2473,0.9020,1.2233,0.9052,1.2473,0.9020,1.2233
