elapsed_s,goal_x_m,goal_y_m,frontier_x_m,frontier_y_m
7.96,0.1231,0.1843,0.2897,0.4338
8.63,0.1319,-0.6718,0.1897,-0.9662
9.24,-0.7299,0.2773,-1.0103,0.3838
13.74,-1.5951,-0.1317,-1.8941,-0.1566
21.44,0.4307,-0.8679,0.5124,-1.1566
22.15,-0.5111,-0.7099,-0.7376,-0.9066
26.95,-1.6874,-0.9199,-1.9376,-1.0854
30.99,0.0430,-1.1370,0.0124,-1.4354
33.84,-1.6378,0.0754,-1.9376,0.0646
34.39,0.6060,-0.3296,0.8624,-0.4854
35.95,-1.0596,-0.7405,-1.2876,-0.9354
36.80,-0.8504,-1.5186,-0.9876,-1.7854
44.25,-1.6939,-0.9604,-1.9376,-1.1354
46.98,-1.6431,0.1218,-1.9376,0.0646
55.45,-1.7877,0.5696,-2.0876,0.5646
57.06,0.9956,-0.3361,1.1624,-0.5854
57.56,-0.7461,-1.5209,-0.8876,-1.7854
59.37,-1.4039,-0.8973,-1.6376,-1.0854
