elapsed_s,x_m,y_m
4.02,0.0000,0.0000
35.30,-0.2123,-0.0190
37.39,0.0538,0.0023
38.49,0.2532,0.0305
39.69,0.4669,0.0390
40.90,0.6611,-0.0523
41.79,0.4450,-0.1421
41.99,0.2255,-0.1309
43.69,-0.2379,0.1770
45.01,-0.4532,0.1939
47.20,-0.5014,0.3973
48.09,-0.1075,0.2050
48.69,0.0443,0.0568
52.60,-0.1346,0.2621
53.72,-0.2984,0.3881
56.49,-0.0435,0.3444
56.69,0.1274,0.1165
57.99,0.3394,0.0981
59.59,0.3930,-0.1050
61.09,0.1162,-0.0100
61.29,-0.0346,0.1416
62.40,-0.0347,0.3608
65.59,-0.1128,0.1715
66.80,-0.0789,-0.0408
67.30,-0.2083,0.1309
70.59,-0.1605,0.3255
71.80,-0.2203,0.5307
72.99,-0.1673,0.7368
73.99,0.0499,0.6622
74.81,-0.0469,0.4856
75.72,-0.1382,0.2116
78.39,-0.0130,0.3783
79.60,0.0647,0.5776
82.09,0.0462,0.3735
82.41,-0.1221,0.1184
83.29,-0.1805,-0.0804
84.79,-0.3810,-0.1450
85.99,-0.5933,-0.1369
86.39,-0.4283,0.1394
86.60,-0.2494,0.3812
88.52,0.0828,0.2375
88.70,0.2754,0.1836
89.00,0.4931,0.1280
90.79,0.2608,0.3001
93.00,0.0108,0.3682
94.19,-0.1338,0.5250
94.79,0.0638,0.4420
95.00,0.3035,0.3452
98.21,0.4995,0.2956
99.29,0.7355,0.1117
99.49,0.8539,-0.0582
99.89,0.4526,-0.0601
101.61,0.4433,0.1714
102.09,0.5137,0.3735
103.39,0.2650,0.2958
122.59,0.3525,0.1045
123.79,0.3627,-0.1075
124.69,0.2287,0.0491
127.10,0.3099,0.2475
138.82,0.4459,0.0889
141.71,0.3016,0.2314
156.90,0.4870,0.1270
158.20,0.2202,0.2779
160.19,-0.0133,0.4192
161.29,-0.2105,0.4529
162.49,-0.4250,0.4535
163.90,-0.6167,0.5573
164.30,-0.3989,0.5626
164.50,-0.1988,0.5890
166.00,-0.0412,0.7470
166.80,0.1610,0.6335
168.10,0.3988,0.6134
168.41,-0.0018,0.5895
170.65,-0.2126,0.5240
171.10,-0.4090,0.4720
171.20,-0.6569,0.4068
172.89,-0.3907,0.3864
174.80,-0.2430,0.5251
176.01,-0.0439,0.6033
177.10,-0.1618,0.4177
179.00,-0.2297,0.2062
179.20,-0.3478,-0.0133
179.60,-0.4657,-0.1752
181.09,-0.3502,0.0935
194.00,-0.2645,0.2782
195.30,-0.1601,0.4676
196.19,-0.3848,0.3740
196.50,-0.6299,0.2655
198.69,-0.7441,0.0968
199.89,-0.9122,-0.0347
200.39,-0.8472,0.1774
202.82,-0.6642,0.3599
203.91,-0.5868,0.5726
204.50,-0.3831,0.3741
206.19,-0.3098,0.5657
