elapsed_s,x_rel_raw_m,y_rel_raw_m,x_rel_smooth_m,y_rel_smooth_m,x_explored_raw_m,y_explored_raw_m,x_explored_smooth_m,y_explored_smooth_m
11.54,0.0000,0.0000,-0.0319,-0.0009,0.0000,0.0000,-0.0319,-0.0009
52.54,-0.0209,-0.0007,-0.0561,-0.0014,-0.0209,-0.0007,-0.0561,-0.0014
53.17,-0.0747,-0.0021,-0.0814,-0.0022,-0.0747,-0.0021,-0.0814,-0.0022
53.75,-0.1287,-0.0026,-0.1213,-0.0036,-0.1287,-0.0026,-0.1213,-0.0036
54.39,-0.1825,-0.0053,-0.1369,-0.0043,-0.1825,-0.0053,-0.1369,-0.0043
55.45,-0.1999,-0.0071,-0.1146,-0.0040,-0.1999,-0.0071,-0.1146,-0.0040
56.15,-0.0990,-0.0043,-0.0540,-0.0028,-0.0990,-0.0043,-0.0540,-0.0028
56.34,0.0371,-0.0005,0.0058,-0.0017,0.0371,-0.0005,0.0058,-0.0017
56.54,0.1741,0.0033,0.0583,-0.0018,0.1741,0.0033,0.0583,-0.0018
57.54,0.1166,0.0004,0.0801,-0.0049,0.1166,0.0004,0.0801,-0.0049
58.44,0.0626,-0.0078,0.0719,-0.0122,0.0626,-0.0078,0.0719,-0.0122
58.74,0.0103,-0.0197,0.0655,-0.0198,0.0103,-0.0197,0.0655,-0.0198
59.84,-0.0039,-0.0371,0.0838,-0.0255,-0.0039,-0.0371,0.0838,-0.0255
60.07,0.1418,-0.0347,0.1300,-0.0255,0.1418,-0.0347,0.1300,-0.0255
60.75,0.2080,-0.0285,0.2021,-0.0192,0.2080,-0.0285,0.2021,-0.0192
60.96,0.2937,-0.0074,0.3230,0.0105,0.2937,-0.0074,0.3230,0.0105
61.15,0.3712,0.0116,0.4148,0.0398,0.3712,0.0116,0.4148,0.0398
61.74,0.6005,0.1115,0.4665,0.0568,0.6005,0.1115,0.4665,0.0568
62.74,0.6008,0.1116,0.5241,0.0782,0.6008,0.1116,0.5241,0.0782
