elapsed_s,frontier_x_m,frontier_y_m
4.03,-1.8814,-1.6440
4.03,0.2186,-1.1940
4.03,-0.2814,-0.1440
4.03,0.1686,0.0560
7.64,-1.8814,-1.6440
7.64,0.2186,-1.1940
7.64,-0.2814,-0.1440
7.64,0.1686,0.0560
9.46,-1.8814,-1.6440
9.46,0.2186,-1.1940
9.46,-0.2814,-0.1440
9.46,0.1686,0.0560
10.76,-1.8814,-1.6440
10.76,0.2186,-1.1940
10.76,-0.2814,-0.1440
10.76,0.1686,0.0560
12.66,-1.8814,-1.6440
12.66,0.2186,-1.1940
12.66,-0.2814,-0.1440
12.66,0.1686,0.0560
14.23,-1.8814,-1.6440
14.23,0.2186,-1.1940
14.23,-0.2814,-0.1440
14.23,0.1686,0.0560
16.38,-1.8814,-1.6440
16.38,0.2186,-1.1940
16.38,-0.2814,-0.1440
16.38,0.1686,0.0560
18.61,-1.8814,-1.6440
18.61,0.2186,-1.1940
18.61,-0.2814,-0.1440
18.61,0.1686,0.0560
20.28,-1.8814,-1.6440
20.28,0.2186,-1.1940
20.28,-0.2814,-0.1440
20.28,0.1686,0.0560
22.31,-1.8814,-1.6440
22.31,0.2186,-1.1940
22.31,-0.2814,-0.1440
22.31,0.1686,0.0560
24.27,-1.8814,-1.6440
24.27,0.2186,-1.1940
24.27,-0.2814,-0.1440
24.27,0.1686,0.0560
26.28,-1.8814,-1.6440
26.28,0.2186,-1.1940
26.28,-0.2814,-0.1440
26.28,0.1686,0.0560
28.26,-1.8814,-1.6440
28.26,0.2186,-1.1940
28.26,-0.2814,-0.1440
28.26,0.1686,0.0560
30.31,-1.8814,-1.6440
30.31,0.2186,-1.1940
30.31,-0.2814,-0.1440
30.31,0.1686,0.0560
32.19,-1.2314,-1.1543
32.19,0.2686,-1.2043
32.19,0.2686,-1.1043
32.19,-0.3814,0.0957
34.25,-1.2314,-1.3143
34.25,-1.2814,-0.7643
34.25,0.2686,-1.0143
36.28,-1.2314,-1.3143
36.28,-1.2814,-0.7643
36.28,0.2686,-1.0143
38.35,-1.2314,-1.3143
38.35,-1.2814,-0.7643
38.35,0.2686,-1.0143
40.23,-1.2314,-1.3143
40.23,-1.2814,-0.7643
40.23,0.2686,-1.0143
42.20,-1.2814,-0.7643
44.36,-1.2814,-0.7643
46.19,-1.2814,-0.7643
48.21,-1.2814,-0.7643
50.18,-1.2814,-0.7643
50.18,0.2686,-1.0143
52.18,-1.2814,-0.7643
52.18,0.2686,-1.0143
54.36,-1.2814,-0.7643
54.36,0.2686,-1.0143
56.33,-1.2814,-0.7643
56.33,0.2686,-1.0143
58.36,-1.8814,-1.8143
58.36,-0.9314,-1.2643
58.36,-1.2814,-0.7643
60.18,-1.8814,-1.8143
60.18,-0.9314,-1.2643
60.18,-1.2314,-0.7643
62.21,-1.8814,-1.8143
62.21,-0.9314,-1.2643
62.21,-1.2314,-0.7643
64.31,-1.8814,-1.8143
64.31,-0.9314,-1.2643
64.31,-1.2314,-0.7643
66.51,-1.8814,-1.8143
