elapsed_s,area_m2,percent_known,known_cells,total_cells
0.66,4.010,74.05,1604,2166
3.10,4.010,74.05,1604,2166
5.55,4.010,74.05,1604,2166
7.46,4.010,74.05,1604,2166
9.76,4.010,74.05,1604,2166
11.00,4.010,74.05,1604,2166
12.71,4.010,74.05,1604,2166
14.46,4.010,74.05,1604,2166
16.40,4.010,74.05,1604,2166
18.37,4.010,74.05,1604,2166
20.49,4.010,74.05,1604,2166
22.26,4.010,74.05,1604,2166
24.33,4.010,74.05,1604,2166
26.29,4.010,74.05,1604,2166
28.28,4.010,74.05,1604,2166
30.27,4.010,74.05,1604,2166
32.27,4.010,74.05,1604,2166
34.33,4.010,74.05,1604,2166
36.28,4.010,74.05,1604,2166
38.32,4.010,74.05,1604,2166
40.32,4.010,74.05,1604,2166
42.26,4.010,74.05,1604,2166
44.28,4.010,74.05,1604,2166
46.26,4.010,74.05,1604,2166
48.27,4.010,74.05,1604,2166
50.26,4.555,84.12,1822,2166
52.26,4.705,86.89,1882,2166
54.27,4.905,90.58,1962,2166
56.27,4.905,90.58,1962,2166
58.27,4.928,91.00,1971,2166
60.26,4.928,91.00,1968,2166
62.43,4.928,91.00,1969,2166
64.29,4.998,89.92,1999,2223
66.27,4.998,89.92,1992,2223
68.28,4.998,88.37,1998,2262
70.33,5.043,89.17,2017,2262
72.29,5.043,89.17,1992,2262
74.28,5.043,89.17,1999,2262
76.46,5.080,87.59,2032,2320
78.29,5.088,87.72,2035,2320
80.43,5.978,71.03,2391,3366
82.49,6.170,71.91,2468,3432
84.28,6.170,71.91,2468,3432
86.60,6.290,73.31,2516,3432
88.28,6.400,73.18,2560,3498
90.29,6.400,73.18,2560,3498
92.32,6.400,73.18,2560,3498
94.39,6.400,73.18,2560,3498
96.98,6.400,73.18,2560,3498
98.37,6.400,73.18,2560,3498
100.38,6.400,73.18,2560,3498
102.59,6.400,73.18,2560,3498
