elapsed_s,x_m,y_m
11.01,0.0000,0.0000
50.37,-0.1353,0.1713
52.26,-0.0979,0.3725
55.56,-0.0347,0.5652
57.36,0.0563,0.7541
58.86,-0.0378,0.5630
58.96,-0.1260,0.3805
59.97,-0.1779,0.1766
60.66,-0.0505,0.3483
61.26,-0.0202,0.5554
63.36,-0.0222,0.3497
64.86,-0.0035,0.5625
66.26,-0.0282,0.3311
67.93,-0.1821,0.1781
69.46,-0.0001,0.3068
71.06,-0.0956,0.1254
73.06,-0.0256,0.3314
73.66,-0.0288,0.5622
74.26,-0.0341,0.8521
75.47,-0.0161,0.6369
76.12,-0.0885,0.4022
77.06,-0.1935,0.2258
78.26,0.0052,0.3490
78.86,0.0020,0.6277
80.16,0.1865,0.5320
81.26,0.2004,0.3279
82.47,0.0824,0.4915
86.57,0.1766,0.3021
