elapsed_s,x_rel_m,y_rel_m
8.09,0.0000,0.0000
11.70,-0.0038,-0.0002
12.76,-0.0087,-0.0004
13.80,-0.0290,-0.0013
14.80,-0.0489,-0.0019
15.89,-0.0638,-0.0003
17.00,-0.0844,-0.0012
18.10,-0.0984,-0.0043
19.19,-0.1126,-0.0092
19.61,0.4935,0.0515
20.69,0.4805,0.0407
21.73,0.4702,0.0299
22.81,0.4577,0.0143
23.85,0.4495,0.0017
24.90,0.4430,-0.0104
25.39,0.5536,0.1022
25.79,1.0135,0.5697
39.29,1.0125,0.5663
40.48,1.0076,0.5504
41.51,0.9992,0.5224
42.59,0.9965,0.5068
43.60,0.9955,0.4955
44.29,1.0234,0.5458
44.69,1.1787,0.9592
45.79,1.1874,0.9567
46.89,1.1925,0.9375
47.89,1.2001,0.9182
48.89,1.1704,0.9187
49.29,1.1084,0.9505
50.29,1.1106,0.9380
51.31,1.1236,0.9094
52.38,1.1320,0.8955
53.40,1.1063,0.8850
53.69,1.0424,0.9144
54.79,1.0545,0.8909
55.83,1.0696,0.8683
56.89,1.0879,0.8471
57.28,0.9943,0.8832
58.29,1.0094,0.8580
59.33,1.0152,0.8499
