elapsed_s,x_rel_m,y_rel_m
26.04,0.0000,0.0000
28.03,-0.0158,-0.0002
28.53,-0.0743,-0.0014
29.54,-0.1358,-0.0048
30.63,-0.1595,-0.0084
31.64,-0.1794,-0.0147
32.71,-0.1931,-0.0216
33.75,-0.2272,-0.0474
34.23,0.2487,0.0359
34.55,0.3033,0.0304
35.24,0.2558,-0.0246
36.05,0.2193,-0.0790
36.24,0.5049,0.1393
37.31,0.5089,0.1015
37.84,0.4922,0.0341
38.03,0.6952,0.3160
38.91,0.6906,0.2487
39.13,0.7824,0.4440
40.14,0.7877,0.4279
40.34,0.8345,0.6978
41.44,0.8450,0.6927
41.84,0.8307,0.7449
42.84,0.8212,0.7522
43.23,0.7723,0.7015
44.24,0.7397,0.6881
44.55,0.6722,0.6675
45.38,0.6119,0.6623
