elapsed_s,goal_x_m,goal_y_m,frontier_x_m,frontier_y_m
15.22,0.0839,0.6584,0.1219,0.9560
15.82,-1.1316,0.7850,-1.3781,0.9560
20.96,-1.6403,-0.1710,-1.9388,-0.2008
21.55,-1.8385,1.2338,-2.0888,1.3992
24.35,-0.6193,0.8517,-0.7888,1.0992
29.67,-1.5570,0.5928,-1.8388,0.6957
35.73,-1.4750,-0.2048,-1.7709,-0.2543
36.32,-0.1396,0.8527,-0.2209,1.1414
41.26,-2.1765,0.4377,-2.4717,0.4914
45.74,0.2381,1.1437,0.2749,1.4414
48.39,-1.4805,-0.2022,-1.7751,-0.2586
55.48,-0.2589,0.9916,-0.4249,1.2414
56.18,-0.9621,1.4300,-1.1749,1.6414
57.29,-2.2877,0.9046,-2.5749,0.9914
59.71,-1.9788,-0.2106,-2.2749,-0.2586
69.49,0.1565,1.4431,0.1251,1.7414
70.75,-0.7746,1.4681,-0.9749,1.6914
76.85,-1.4805,-0.2007,-1.4805,-0.2007
79.78,-0.3265,1.3236,-0.4616,1.5914
85.86,-2.0659,-0.2081,-2.3616,-0.2586
90.77,0.1164,1.4428,0.0884,1.7414
91.36,-0.8243,1.4571,-1.0116,1.6914
99.75,-0.3197,1.3272,-0.4616,1.5914
