elapsed_s,frontier_x_m,frontier_y_m
1.58,-1.8281,-0.1440
1.58,-1.8781,0.1560
1.58,0.1719,0.4060
1.58,0.1219,0.9560
1.58,-1.7281,0.4060
1.58,-0.1781,0.4060
1.58,-1.3781,0.9560
1.58,-0.3781,1.0560
1.58,-2.0781,0.8060
1.58,-0.1781,1.1560
1.58,-2.3281,0.9060
1.58,-2.0281,0.9060
1.58,-2.2281,0.9560
1.58,-2.1281,0.9560
1.58,-2.0781,1.0560
1.58,-2.1781,1.1060
1.58,-2.2781,1.1560
1.58,-2.3781,1.2060
1.58,-2.4781,1.2560
1.58,-2.2281,1.3060
1.58,-2.3281,1.4060
1.58,-2.4281,1.4560
1.58,-2.1281,1.5060
3.92,-1.8281,-0.1440
3.92,-1.8781,0.1560
3.92,0.1719,0.4060
3.92,0.1219,0.9560
3.92,-1.7281,0.4060
3.92,-0.1781,0.4060
3.92,-1.3781,0.9560
3.92,-0.3781,1.0560
3.92,-2.0781,0.8060
3.92,-0.1781,1.1560
3.92,-2.3281,0.9060
3.92,-2.0281,0.9060
3.92,-2.2281,0.9560
3.92,-2.1281,0.9560
3.92,-2.0781,1.0560
3.92,-2.1781,1.1060
3.92,-2.2781,1.1560
3.92,-2.3781,1.2060
3.92,-2.4781,1.2560
3.92,-2.2281,1.3060
3.92,-2.3281,1.4060
3.92,-2.4281,1.4560
3.92,-2.1281,1.5060
5.59,-1.8281,-0.1440
5.59,-1.8781,0.1560
5.59,0.1719,0.4060
5.59,0.1219,0.9560
5.59,-1.7281,0.4060
5.59,-0.1781,0.4060
5.59,-1.3781,0.9560
5.59,-0.3781,1.0560
5.59,-2.0781,0.8060
5.59,-0.1781,1.1560
5.59,-2.3281,0.9060
5.59,-2.0281,0.9060
5.59,-2.2281,0.9560
5.59,-2.1281,0.9560
5.59,-2.0781,1.0560
5.59,-2.1781,1.1060
5.59,-2.2781,1.1560
5.59,-2.3781,1.2060
5.59,-2.4781,1.2560
5.59,-2.2281,1.3060
5.59,-2.3281,1.4060
5.59,-2.4281,1.4560
5.59,-2.1281,1.5060
7.85,-1.8281,-0.1440
7.85,-1.8781,0.1560
7.85,0.1719,0.4060
7.85,0.1219,0.9560
7.85,-1.7281,0.4060
7.85,-0.1781,0.4060
7.85,-1.3781,0.9560
7.85,-0.3781,1.0560
7.85,-2.0781,0.8060
7.85,-0.1781,1.1560
7.85,-2.3281,0.9060
7.85,-2.0281,0.9060
7.85,-2.2281,0.9560
7.85,-2.1281,0.9560
7.85,-2.0781,1.0560
7.85,-2.1781,1.1060
7.85,-2.2781,1.1560
7.85,-2.3781,1.2060
7.85,-2.4781,1.2560
7.85,-2.2281,1.3060
7.85,-2.3281,1.4060
7.85,-2.4281,1.4560
7.85,-2.1281,1.5060
9.64,-1.8281,-0.1440
9.64,-1.8781,0.1560
9.64,0.1719,0.4060
9.64,0.1219,0.9560
9.64,-1.7281,0.4060
9.64,-0.1781,0.4060
9.64,-1.3781,0.9560
9.64,-0.3781,1.0560
9.64,-2.0781,0.8060
9.64,-0.1781,1.1560
9.64,-2.3281,0.9060
9.64,-2.0281,0.9060
9.64,-2.2281,0.9560
9.64,-2.1281,0.9560
9.64,-2.0781,1.0560
9.64,-2.1781,1.1060
9.64,-2.2781,1.1560
9.64,-2.3781,1.2060
9.64,-2.4781,1.2560
9.64,-2.2281,1.3060
9.64,-2.3281,1.4060
9.64,-2.4281,1.4560
9.64,-2.1281,1.5060
11.46,-1.8281,-0.1440
11.46,-1.8781,0.1560
11.46,0.1719,0.4060
11.46,0.1219,0.9560
11.46,-1.7281,0.4060
11.46,-0.1781,0.4060
11.46,-1.3781,0.9560
11.46,-0.3781,1.0560
11.46,-2.0781,0.8060
11.46,-0.1781,1.1560
11.46,-2.3281,0.9060
11.46,-2.0281,0.9060
11.46,-2.2281,0.9560
11.46,-2.1281,0.9560
11.46,-2.0781,1.0560
11.46,-2.1781,1.1060
11.46,-2.2781,1.1560
11.46,-2.3781,1.2060
11.46,-2.4781,1.2560
11.46,-2.2281,1.3060
11.46,-2.3281,1.4060
11.46,-2.4281,1.4560
11.46,-2.1281,1.5060
13.19,-1.8281,-0.1440
13.19,-1.8781,0.1560
13.19,0.1719,0.4060
13.19,0.1219,0.9560
13.19,-1.7281,0.4060
13.19,-0.1781,0.4060
13.19,-1.3781,0.9560
13.19,-0.3781,1.0560
13.19,-2.0781,0.8060
13.19,-0.1781,1.1560
13.19,-2.3281,0.9060
13.19,-2.0281,0.9060
13.19,-2.2281,0.9560
13.19,-2.1281,0.9560
13.19,-2.0781,1.0560
13.19,-2.1781,1.1060
13.19,-2.2781,1.1560
13.19,-2.3781,1.2060
13.19,-2.4781,1.2560
13.19,-2.2281,1.3060
13.19,-2.3281,1.4060
13.19,-2.4281,1.4560
13.19,-2.1281,1.5060
15.62,-1.8281,-0.1440
15.62,-1.8781,0.1560
15.62,0.1719,0.4060
15.62,0.1219,0.9560
15.62,-1.7281,0.4060
15.62,-0.1781,0.4060
15.62,-1.3781,0.9560
15.62,-0.3781,1.0560
15.62,-2.0781,0.8060
15.62,-0.1781,1.1560
15.62,-2.3281,0.9060
15.62,-2.0281,0.9060
15.62,-2.2281,0.9560
15.62,-2.1281,0.9560
15.62,-2.0781,1.0560
15.62,-2.1781,1.1060
15.62,-2.2781,1.1560
15.62,-2.3781,1.2060
15.62,-2.4781,1.2560
15.62,-2.2281,1.3060
15.62,-2.3281,1.4060
15.62,-2.4281,1.4560
15.62,-2.1281,1.5060
17.33,-1.8281,-0.1440
17.33,-1.8781,0.1560
17.33,0.1719,0.4060
17.33,0.1219,0.9560
17.33,-1.7281,0.4060
17.33,-0.1781,0.4060
17.33,-1.3781,0.9560
17.33,-0.3781,1.0560
17.33,-2.0781,0.8060
17.33,-0.1781,1.1560
17.33,-2.3281,0.9060
17.33,-2.0281,0.9060
17.33,-2.2281,0.9560
17.33,-2.1281,0.9560
17.33,-2.0781,1.0560
17.33,-2.1781,1.1060
17.33,-2.2781,1.1560
17.33,-2.3781,1.2060
17.33,-2.4781,1.2560
17.33,-2.2281,1.3060
17.33,-2.3281,1.4060
17.33,-2.4281,1.4560
17.33,-2.1281,1.5060
19.40,-1.8888,-0.2508
19.40,-1.7888,-0.2508
19.40,-1.6888,-0.2508
19.40,-1.5888,-0.2508
19.40,-1.4388,-0.2508
19.40,-2.2888,-0.2008
19.40,-1.9388,-0.2008
19.40,-2.0388,0.2992
19.40,-2.3888,0.3492
19.40,-2.2388,0.4492
19.40,0.1112,0.9492
19.40,0.1612,0.4492
19.40,-2.0388,0.3992
19.40,-0.7888,1.0992
19.40,-1.9888,0.5492
19.40,-1.4388,0.5492
19.40,-2.0888,0.7992
19.40,-0.3888,1.1492
19.40,-0.2388,1.1492
19.40,-1.6388,0.8492
19.40,-2.4388,0.8992
19.40,-1.7888,0.9492
19.40,-2.2388,1.1992
19.40,-1.6888,1.1992
19.40,-1.8388,1.3492
19.40,-2.0888,1.3992
19.40,-0.6388,1.3992
