elapsed_s,x_rel_m,y_rel_m,x_explored_m,y_explored_m
17.34,0.0000,0.0000,0.0000,0.0000
22.03,-0.0017,-0.0000,-0.0017,-0.0000
23.14,-0.0170,-0.0001,-0.0170,-0.0001
24.26,-0.0319,-0.0012,-0.0319,-0.0012
25.33,-0.0507,-0.0079,-0.0507,-0.0079
26.34,-0.0595,-0.0126,-0.0595,-0.0126
27.43,-0.0760,-0.0238,-0.0760,-0.0238
28.70,-0.0836,-0.0303,-0.0836,-0.0303
29.73,-0.0992,-0.0489,-0.0992,-0.0489
29.84,0.0696,0.0029,0.0696,0.0029
30.14,0.4735,0.1550,0.4735,0.1550
31.03,0.4410,0.0983,0.4410,0.0983
31.73,0.4195,0.0428,0.4195,0.0428
32.06,0.5705,0.2027,0.5705,0.2027
32.34,0.6415,0.2619,0.6415,0.2619
33.04,0.6349,0.1889,0.6349,0.1889
33.53,0.7205,0.3926,0.7205,0.3926
34.54,0.7441,0.3997,0.7441,0.3997
34.74,0.7841,0.5189,0.7841,0.5189
35.74,0.7863,0.7322,0.7863,0.7322
36.74,0.7791,0.7497,0.7791,0.7497
37.75,0.7929,0.7137,0.7929,0.7137
38.26,0.8243,0.6517,0.8243,0.6517
39.33,0.8220,0.6667,0.8220,0.6667
39.74,0.8123,0.7318,0.8123,0.7318
40.34,0.8422,0.6879,0.8422,0.6879
41.43,0.8529,0.6724,0.8529,0.6724
41.73,0.8136,0.7503,0.8136,0.7503
42.03,0.7867,0.8050,0.7867,0.8050
43.73,0.7944,0.7975,0.7944,0.7975
44.78,0.8419,0.7457,0.8419,0.7457
45.27,0.8723,0.6808,0.8723,0.6808
46.04,0.7481,0.7028,0.7481,0.7028
47.06,0.7354,0.6759,0.7354,0.6759
47.34,1.0684,0.7415,1.0684,0.7415
48.34,1.0969,0.7667,1.0969,0.7667
48.43,1.0864,0.9331,1.0864,0.9331
49.44,1.1035,0.9194,1.1035,0.9194
50.44,1.0773,0.8955,1.0773,0.8955
51.54,1.0778,0.8791,1.0778,0.8791
52.54,1.0863,0.7994,1.0863,0.7994
53.14,1.1100,0.7297,1.1100,0.7297
54.26,1.1247,0.6970,1.1247,0.6970
59.53,1.6569,0.7270,1.6569,0.7270
59.73,1.5982,0.8958,1.5982,0.8958
60.04,1.4886,1.0307,1.4886,1.0307
