elapsed_s,x_m,y_m
10.29,0.0000,0.0000
22.98,0.2004,-0.0187
25.32,0.1668,-0.2314
26.18,-0.0297,-0.2824
27.28,-0.2048,-0.1635
27.98,-0.3724,-0.0223
29.19,-0.5516,0.1572
30.40,-0.4431,0.3662
31.01,-0.2558,0.5166
33.88,-0.0897,0.6328
34.28,-0.2482,0.5030
49.50,-0.4003,0.3615
50.70,-0.5988,0.2788
52.48,-0.4090,0.4665
56.08,-0.6152,0.4491
57.98,-0.4352,0.5716
58.58,-0.2157,0.5479
59.48,-0.0300,0.4631
64.41,0.1247,0.6109
65.88,0.3181,0.7213
66.48,0.3021,0.5096
67.39,0.2507,0.2941
68.30,-0.0093,0.2661
69.20,-0.2303,0.3324
76.88,-0.1338,0.1487
79.48,-0.3614,0.2731
80.29,-0.3917,0.4790
81.68,-0.2978,0.2905
82.88,-0.2637,0.0807
83.09,-0.4419,0.2648
84.90,-0.6733,0.2296
85.88,-0.6185,0.0293
86.02,-0.5906,0.2752
87.48,-0.4964,0.4813
88.48,-0.2590,0.6035
89.56,-0.4551,0.5096
