elapsed_s,frontier_x_m,frontier_y_m
8.97,-0.4622,-1.6509
8.97,-0.2122,-1.0509
8.97,0.0378,-1.0509
8.97,0.4378,-1.5009
8.97,0.7378,-1.3509
8.97,-0.4622,-1.3009
8.97,0.8878,-1.1509
8.97,-0.5122,-0.8509
8.97,-0.5122,-0.4509
8.97,0.5878,-0.4009
8.97,-0.6122,-0.2009
8.97,-0.4122,-0.2009
8.97,0.8878,-0.0509
8.97,1.0378,0.0991
8.97,-0.7122,0.1491
8.97,0.6378,0.4491
8.97,-0.6122,0.3491
8.97,-0.6622,0.8491
8.97,0.6878,0.9491
8.97,-0.3622,0.9491
8.97,0.2878,0.9491
8.97,0.4878,0.9991
11.01,-0.4622,-1.6509
11.01,-0.2122,-1.0509
11.01,0.0378,-1.0509
11.01,0.4378,-1.5009
11.01,0.7378,-1.3509
11.01,-0.4622,-1.3009
11.01,0.8878,-1.1509
11.01,-0.5122,-0.8509
11.01,-0.5122,-0.4509
11.01,0.5878,-0.4009
11.01,-0.6122,-0.2009
11.01,-0.4122,-0.2009
11.01,0.8878,-0.0509
11.01,1.0378,0.0991
11.01,-0.7122,0.1491
11.01,0.6378,0.4491
11.01,-0.6122,0.3491
11.01,-0.6622,0.8491
11.01,0.6878,0.9491
11.01,-0.3622,0.9491
11.01,0.2878,0.9491
11.01,0.4878,0.9991
14.10,-0.4622,-1.6509
14.10,-0.2122,-1.0509
14.10,0.0378,-1.0509
14.10,0.4378,-1.5009
14.10,0.7378,-1.3509
14.10,-0.4622,-1.3009
14.10,0.8878,-1.1509
14.10,-0.5122,-0.8509
14.10,-0.5122,-0.4509
14.10,0.5878,-0.4009
14.10,-0.6122,-0.2009
14.10,-0.4122,-0.2009
14.10,0.8878,-0.0509
14.10,1.0378,0.0991
14.10,-0.7122,0.1491
14.10,0.6378,0.4491
14.10,-0.6122,0.3491
14.10,-0.6622,0.8491
14.10,0.6878,0.9491
14.10,-0.3622,0.9491
14.10,0.2878,0.9491
14.10,0.4878,0.9991
15.53,-0.4622,-1.6509
15.53,-0.2122,-1.0509
15.53,0.0378,-1.0509
15.53,0.4378,-1.5009
15.53,0.7378,-1.3509
15.53,-0.4622,-1.3009
15.53,0.8878,-1.1509
15.53,-0.5122,-0.8509
15.53,-0.5122,-0.4509
15.53,0.5878,-0.4009
15.53,-0.6122,-0.2009
15.53,-0.4122,-0.2009
15.53,0.8878,-0.0509
15.53,1.0378,0.0991
15.53,-0.7122,0.1491
15.53,0.6378,0.4491
15.53,-0.6122,0.3491
15.53,-0.6622,0.8491
15.53,0.6878,0.9491
15.53,-0.3622,0.9491
15.53,0.2878,0.9491
15.53,0.4878,0.9991
18.20,-0.4622,-1.6509
18.20,-0.2122,-1.0509
18.20,0.0378,-1.0509
18.20,0.4378,-1.5009
18.20,0.7378,-1.3509
18.20,-0.4622,-1.3009
18.20,0.8878,-1.1509
18.20,-0.5122,-0.8509
18.20,-0.5122,-0.4509
18.20,0.5878,-0.4009
18.20,-0.6122,-0.2009
18.20,-0.4122,-0.2009
18.20,0.8878,-0.0509
18.20,1.0378,0.0991
18.20,-0.7122,0.1491
18.20,0.6378,0.4491
18.20,-0.6122,0.3491
18.20,-0.6622,0.8491
18.20,0.6878,0.9491
18.20,-0.3622,0.9491
18.20,0.2878,0.9491
18.20,0.4878,0.9991
20.01,-0.4622,-1.6509
20.01,-0.2122,-1.0509
20.01,0.0378,-1.0509
20.01,0.4378,-1.5009
20.01,0.7378,-1.3509
20.01,-0.4622,-1.3009
20.01,0.8878,-1.1509
20.01,-0.5122,-0.8509
20.01,-0.5122,-0.4509
20.01,0.5878,-0.4009
20.01,-0.6122,-0.2009
20.01,-0.4122,-0.2009
20.01,0.8878,-0.0509
20.01,1.0378,0.0991
20.01,-0.7122,0.1491
20.01,0.6378,0.4491
20.01,-0.6122,0.3491
20.01,-0.6622,0.8491
20.01,0.6878,0.9491
20.01,-0.3622,0.9491
20.01,0.2878,0.9491
20.01,0.4878,0.9991
21.67,-0.4622,-1.6509
21.67,-0.2122,-1.0509
21.67,0.0378,-1.0509
21.67,0.4378,-1.5009
21.67,0.7378,-1.3509
21.67,-0.4622,-1.3009
21.67,0.8878,-1.1509
21.67,-0.5122,-0.8509
21.67,-0.5122,-0.4509
21.67,0.5878,-0.4009
21.67,-0.6122,-0.2009
21.67,-0.4122,-0.2009
21.67,0.8878,-0.0509
21.67,1.0378,0.0991
21.67,-0.7122,0.1491
21.67,0.6378,0.4491
21.67,-0.6122,0.3491
21.67,-0.6622,0.8491
21.67,0.6878,0.9491
21.67,-0.3622,0.9491
21.67,0.2878,0.9491
21.67,0.4878,0.9991
23.65,-0.4622,-1.6509
23.65,-0.2122,-1.0509
23.65,0.0378,-1.0509
23.65,0.4378,-1.5009
23.65,0.7378,-1.3509
23.65,-0.4622,-1.3009
23.65,0.8878,-1.1509
23.65,-0.5122,-0.8509
23.65,-0.5122,-0.4509
23.65,0.5878,-0.4009
23.65,-0.6122,-0.2009
23.65,-0.4122,-0.2009
23.65,0.8878,-0.0509
23.65,1.0378,0.0991
23.65,-0.7122,0.1491
23.65,0.6378,0.4491
23.65,-0.6122,0.3491
23.65,-0.6622,0.8491
23.65,0.6878,0.9491
23.65,-0.3622,0.9491
23.65,0.2878,0.9491
23.65,0.4878,0.9991
25.85,-0.4622,-1.6509
25.85,-0.2122,-1.0509
25.85,0.0378,-1.0509
25.85,0.4378,-1.5009
25.85,0.7378,-1.3509
25.85,-0.4622,-1.3009
25.85,0.8878,-1.1509
25.85,-0.5122,-0.8509
25.85,-0.5122,-0.4509
25.85,0.5878,-0.4009
25.85,-0.6122,-0.2009
25.85,-0.4122,-0.2009
25.85,0.8878,-0.0509
25.85,1.0378,0.0991
25.85,-0.7122,0.1491
25.85,0.6378,0.4491
25.85,-0.6122,0.3491
25.85,-0.6622,0.8491
25.85,0.6878,0.9491
25.85,-0.3622,0.9491
25.85,0.2878,0.9491
25.85,0.4878,0.9991
27.61,-0.4622,-1.6509
27.61,-0.2122,-1.0509
27.61,0.0378,-1.0509
27.61,0.4378,-1.5009
27.61,0.7378,-1.3509
27.61,-0.4622,-1.3009
27.61,0.8878,-1.1509
27.61,-0.5122,-0.8509
27.61,-0.5122,-0.4509
27.61,0.5878,-0.4009
27.61,-0.6122,-0.2009
27.61,-0.4122,-0.2009
27.61,0.8878,-0.0509
27.61,1.0378,0.0991
27.61,-0.7122,0.1491
27.61,0.6378,0.4491
27.61,-0.6122,0.3491
27.61,-0.6622,0.8491
27.61,0.6878,0.9491
27.61,-0.3622,0.9491
27.61,0.2878,0.9491
27.61,0.4878,0.9991
29.88,-0.4622,-1.6509
29.88,-0.2122,-1.0509
29.88,0.0378,-1.0509
29.88,0.4378,-1.5009
29.88,0.7378,-1.3509
29.88,-0.4622,-1.3009
29.88,0.8878,-1.1509
