elapsed_s,frontier_x_m,frontier_y_m
3.18,0.3059,-0.6403
3.18,-0.9441,-0.7403
3.18,-1.5441,-0.3903
3.18,0.3559,-0.3903
3.18,-1.9441,-0.3903
3.18,-0.8441,-0.1403
3.18,0.4059,-0.0403
3.18,0.4059,0.1097
3.18,-1.4441,0.7097
3.18,0.5559,0.5097
3.18,-1.1941,0.6597
3.18,0.5059,0.8597
4.49,0.3059,-0.6403
4.49,-0.9441,-0.7403
4.49,-1.5441,-0.3903
4.49,0.3559,-0.3903
4.49,-1.9441,-0.3903
4.49,-0.8441,-0.1403
4.49,0.4059,-0.0403
4.49,0.4059,0.1097
4.49,-1.4441,0.7097
4.49,0.5559,0.5097
4.49,-1.1941,0.6597
4.49,0.5059,0.8597
6.69,0.3059,-0.6403
6.69,-0.9441,-0.7403
6.69,-1.5441,-0.3903
6.69,0.3559,-0.3903
6.69,-1.9441,-0.3903
6.69,-0.8441,-0.1403
6.69,0.4059,-0.0403
6.69,0.4059,0.1097
6.69,-1.4441,0.7097
6.69,0.5559,0.5097
6.69,-1.1941,0.6597
6.69,0.5059,0.8597
9.08,-1.5088,-0.8055
9.08,-1.8088,-0.7055
9.08,-1.4088,-0.7555
9.08,-1.3088,-0.7055
9.08,-1.9088,-0.5555
9.08,-1.2088,-0.6555
9.08,-1.1088,-0.6055
9.08,-1.3088,-0.4055
9.08,0.3912,-0.4055
9.08,-1.9088,-0.4055
9.08,-1.3588,-0.2555
9.08,-1.6588,-0.1555
9.08,-1.1588,-0.2055
9.08,-1.5088,0.5945
9.08,0.4912,0.5945
10.59,-1.8088,-0.6555
10.59,-1.9088,-0.5555
10.59,-1.8588,-0.3555
10.59,-2.0588,-0.2555
10.59,-1.5588,-0.1055
10.59,-1.5088,0.5945
12.53,-1.8088,-0.6555
12.53,-1.9088,-0.5555
12.53,-1.8588,-0.3555
12.53,-2.0588,-0.2555
12.53,-1.5588,-0.1055
12.53,-1.5088,0.5945
14.48,-1.8755,-0.6055
14.48,-1.8755,-0.3555
14.48,-2.0755,-0.2555
14.48,-1.5255,-0.1055
14.48,-1.5255,0.5945
16.68,-1.8755,-0.6055
16.68,-1.8755,-0.3555
16.68,-2.0755,-0.2555
16.68,-1.5255,-0.1055
16.68,-1.5255,0.5945
18.57,-1.8755,-0.6055
18.57,-1.8755,-0.3555
18.57,-2.0755,-0.2555
18.57,-1.5255,-0.1055
18.57,-1.5255,0.5945
20.69,-1.8755,-0.6055
20.69,-1.8755,-0.3555
20.69,-2.0755,-0.2555
20.69,-1.5255,-0.1055
20.69,-1.5255,0.5945
22.54,-1.9801,-0.6555
22.54,-1.8301,-0.3555
22.54,-2.0801,-0.2555
22.54,-1.5301,-0.1055
22.54,-1.5301,0.5945
24.62,-1.9801,-0.6555
24.62,-1.8301,-0.3555
24.62,-2.0801,-0.2555
24.62,-1.5301,-0.1055
24.62,-1.5301,0.5945
27.01,-1.9980,-0.6556
27.01,-1.8480,-0.3556
27.01,-2.0980,-0.2556
27.01,-1.5480,-0.1056
27.01,-1.4980,0.5944
28.63,-1.9980,-0.6556
28.63,-1.8480,-0.3556
28.63,-2.0980,-0.2556
28.63,-1.5480,-0.1056
28.63,-1.4980,0.5444
30.58,-1.9980,-0.6556
30.58,-1.8480,-0.3556
30.58,-2.0980,-0.2556
30.58,-1.5480,-0.1056
30.58,-1.4980,0.5444
32.50,-1.9980,-0.6556
32.50,-1.8480,-0.3556
32.50,-2.0980,-0.2556
32.50,-1.5480,-0.1056
32.50,-1.4980,0.5444
35.16,-1.9980,-0.6556
35.16,-1.8480,-0.3556
35.16,-2.0980,-0.2556
35.16,-1.5480,-0.1056
35.16,-1.4980,0.5444
36.68,-1.9980,-0.6556
36.68,-1.8480,-0.3556
36.68,-2.0980,-0.2556
36.68,-1.5480,-0.1056
36.68,-1.4980,0.5444
38.68,-1.9980,-0.6556
38.68,-1.8480,-0.3556
38.68,-2.0980,-0.2556
38.68,-1.5480,-0.1056
38.68,-1.4980,0.5444
40.57,-2.1480,-0.7056
40.57,-1.8480,-0.3556
40.57,-2.0980,-0.2556
40.57,-1.5480,-0.1056
40.57,-1.4980,0.5444
42.61,-2.2480,-0.7056
42.61,-1.8480,-0.3556
42.61,-2.0980,-0.2556
42.61,-1.5480,-0.1056
42.61,-1.4980,0.5444
44.59,-2.2480,-0.7056
44.59,-1.8480,-0.3556
44.59,-2.0980,-0.2556
44.59,-1.5480,-0.1056
44.59,-1.4980,0.5444
46.90,-2.2480,-0.7056
46.90,-1.8480,-0.3556
46.90,-2.0980,-0.2556
46.90,-1.5480,-0.1056
46.90,-1.4980,0.5444
48.67,-1.8527,-0.3556
48.67,-2.1027,-0.2556
48.67,-1.5527,-0.1056
48.67,-1.5027,0.5444
50.57,-1.8527,-0.3556
50.57,-2.1027,-0.2556
50.57,-1.5527,-0.1056
50.57,-1.5027,0.5444
52.51,-1.9527,-0.4056
52.51,-2.1027,-0.2556
52.51,-1.5527,-0.1056
52.51,-1.5027,0.5444
54.75,-1.9527,-0.4056
54.75,-2.1027,-0.2556
54.75,-1.5527,-0.1056
54.75,-1.5027,0.5444
56.71,-2.0527,-0.4056
56.71,-2.1027,-0.2556
56.71,-1.6027,-0.1056
56.71,-1.5027,0.5444
58.66,-2.0527,-0.4056
58.66,-2.1027,-0.2556
58.66,-1.6027,-0.1056
58.66,-1.5027,0.5444
