elapsed_s,x_m,y_m
6.88,0.0000,0.0000
22.39,0.2376,-0.0111
25.38,-0.0164,-0.0237
26.59,-0.2299,-0.0071
27.80,-0.4582,0.0194
28.59,-0.2399,-0.0047
34.10,-0.7512,0.0543
39.38,-0.5432,0.0068
40.44,-0.5139,-0.2057
41.38,-0.5928,-0.3945
41.98,-0.7290,-0.1969
42.48,-0.7723,0.0245
43.69,-0.6772,0.2342
45.08,-0.5151,0.4140
46.86,-0.3534,0.6024
47.69,-0.1537,0.6487
48.09,0.0484,0.5878
48.98,0.2506,0.4896
50.29,0.0265,0.5882
53.79,0.1991,0.4764
57.10,0.4243,0.4339
59.08,0.6279,0.4525
59.58,0.4124,0.4338
63.98,0.1904,0.5011
65.28,-0.0096,0.5887
66.50,0.2083,0.4779
70.48,0.3970,0.4020
75.00,0.1721,0.5269
78.99,0.0688,0.7966
