elapsed_s,frontier_x_m,frontier_y_m
4.36,0.5148,-0.8073
4.36,-1.5852,-0.1073
4.36,-1.1352,0.7927
4.36,0.6648,0.8427
4.36,0.5148,0.8927
6.61,0.5148,-0.8073
6.61,-1.5852,-0.1073
6.61,-1.1352,0.7927
6.61,0.6648,0.8427
6.61,0.5148,0.8927
9.20,0.5148,-0.8073
9.20,-1.5852,-0.1073
9.20,-1.1352,0.7927
9.20,0.6648,0.8427
9.20,0.5148,0.8927
11.29,0.5148,-0.8073
11.29,-1.5852,-0.1073
11.29,-1.1352,0.7927
11.29,0.6648,0.8427
11.29,0.5148,0.8927
12.34,0.5148,-0.8073
12.34,-1.5852,-0.1073
12.34,-1.1352,0.7927
12.34,0.6648,0.8427
12.34,0.5148,0.8927
14.34,0.5148,-0.8073
14.34,-1.5852,-0.1073
14.34,-1.1352,0.7927
14.34,0.6648,0.8427
14.34,0.5148,0.8927
15.42,0.5148,-0.8073
15.42,-1.5852,-0.1073
15.42,-1.1352,0.7927
15.42,0.6648,0.8427
15.42,0.5148,0.8927
16.96,0.5148,-0.8073
16.96,-1.5852,-0.1073
16.96,-1.1352,0.7927
16.96,0.6648,0.8427
16.96,0.5148,0.8927
18.62,0.5148,-0.8073
18.62,-1.5852,-0.1073
18.62,-1.1352,0.7927
18.62,0.6648,0.8427
18.62,0.5148,0.8927
21.31,0.5148,-0.8073
21.31,-1.5852,-0.1073
21.31,-1.1352,0.7927
21.31,0.6648,0.8427
21.31,0.5148,0.8927
24.40,0.5148,-0.8073
24.40,-1.5852,-0.1073
24.40,-1.1352,0.7927
24.40,0.6648,0.8427
24.40,0.5148,0.8927
26.52,0.5148,-0.8073
26.52,-1.5852,-0.1073
26.52,-1.1352,0.7927
26.52,0.6648,0.8427
26.52,0.5148,0.8927
28.49,0.5148,-0.8073
28.49,-1.5852,-0.1073
28.49,-1.1352,0.7927
28.49,0.6648,0.8427
28.49,0.5148,0.8927
30.13,-2.0545,-0.8073
30.13,-1.9545,0.7927
31.51,-2.0545,-0.8073
31.51,-1.9545,0.7927
