metric,value
rows,11
duration_s,12.600000
total_distance_m,0.768684
start_x_m,0.000000
start_y_m,0.000000
end_x_m,0.463300
end_y_m,0.092600
max_segment_speed_mps,1.491706
mean_segment_speed_mps,0.163641
speed_spike_threshold_mps,0.800000
speed_spike_count,1
end_stable_x_m,-0.106000
end_stable_y_m,-0.045500
end_jump_flag,1
end_jump_distance_m,0.611599
end_jump_dt_s,0.410000
