elapsed_s,area_m2,percent_known,known_cells,total_cells
2.19,3.218,31.43,1287,4095
4.68,3.218,31.43,1287,4095
6.11,3.218,31.43,1287,4095
8.17,3.218,31.43,1287,4095
10.11,3.218,31.43,1287,4095
12.13,3.218,31.43,1287,4095
14.62,4.650,32.39,1860,5742
16.29,4.650,32.39,1860,5742
18.23,4.650,32.39,1860,5742
20.17,5.090,35.46,2036,5742
23.68,5.248,36.56,2099,5742
24.20,5.315,37.03,2126,5742
27.02,5.338,37.18,2135,5742
28.81,6.320,36.32,2528,6960
30.10,6.320,36.32,2528,6960
32.11,6.320,36.32,2528,6960
34.11,6.320,36.32,2528,6960
36.13,6.320,36.32,2528,6960
38.11,6.320,36.32,2528,6960
40.11,6.320,36.32,2528,6960
42.13,6.320,36.32,2528,6960
44.09,6.320,36.32,2528,6960
46.09,6.320,36.32,2528,6960
48.09,6.320,36.32,2528,6960
50.14,6.320,36.32,2528,6960
52.18,6.320,36.32,2528,6960
54.09,6.320,36.32,2528,6960
56.16,6.320,36.32,2528,6960
58.11,6.320,36.32,2528,6960
60.10,6.320,36.32,2528,6960
62.22,6.320,36.32,2528,6960
64.13,6.320,36.32,2528,6960
66.09,6.320,36.32,2528,6960
68.12,6.320,36.32,2528,6960
70.18,6.320,36.32,2528,6960
72.11,6.320,36.32,2528,6960
