elapsed_s,goal_x_m,goal_y_m,frontier_x_m,frontier_y_m
8.89,-0.4302,-0.6830,-0.5900,-0.9368
9.58,-0.8580,0.3110,-1.1400,0.4132
17.81,-0.9342,-0.2124,-1.2224,-0.2955
20.64,-1.3213,-1.0701,-1.5611,-1.2504
34.51,-0.8748,-0.1606,-1.1611,-0.2504
46.67,0.1505,1.0996,0.1704,1.3989
47.53,-1.2692,-1.0735,-1.5246,-1.2310
48.12,-1.5963,1.0743,-1.8246,1.2690
53.76,-0.8229,1.4175,-0.9246,1.6998
61.48,0.1621,0.3509,0.2754,0.6287
64.32,-1.5381,0.0436,-1.7246,0.2787
64.85,0.0015,1.3879,0.0754,1.6787
74.03,-1.1934,1.2399,-1.2746,1.5287
78.54,-1.5541,0.0318,-1.7246,0.2787
83.12,0.3781,1.1046,0.5002,1.3787
