elapsed_s,x_rel_m,y_rel_m,x_explored_m,y_explored_m
23.09,0.0000,0.0000,0.0000,0.0000
26.10,-0.0250,-0.0006,-0.0250,-0.0006
26.81,-0.0926,-0.0024,-0.0926,-0.0024
27.77,-0.1492,-0.0036,-0.1492,-0.0036
28.41,-0.2227,-0.0057,-0.2227,-0.0057
28.80,-0.1019,-0.0015,-0.1019,-0.0015
29.96,-0.1399,-0.0142,-0.1399,-0.0142
30.99,-0.1800,-0.0309,-0.1800,-0.0309
31.09,-0.0729,-0.0263,-0.0729,-0.0263
31.41,0.1780,-0.0014,0.1780,-0.0014
32.39,0.1748,-0.0748,0.1748,-0.0748
32.89,0.2971,0.0102,0.2971,0.0102
33.09,0.4346,0.1078,0.4346,0.1078
34.09,0.4030,0.0416,0.4030,0.0416
34.49,0.5385,0.1978,0.5385,0.1978
34.99,0.5172,0.1277,0.5172,0.1277
