metric,value
rows,12
duration_s,15.650000
total_distance_m,1.167137
start_x_m,0.000000
start_y_m,0.000000
end_x_m,0.542500
end_y_m,0.258400
max_segment_speed_mps,1.587797
mean_segment_speed_mps,0.230459
speed_spike_threshold_mps,0.800000
speed_spike_count,1
end_stable_x_m,-0.153700
end_stable_y_m,-0.104600
end_jump_flag,1
end_jump_distance_m,0.682753
end_jump_dt_s,0.430000
