elapsed_s,x_rel_m,y_rel_m,x_explored_m,y_explored_m
9.45,0.0000,0.0000,0.0000,0.0000
11.75,-0.0008,-0.0000,-0.0008,-0.0000
12.76,-0.0161,-0.0012,-0.0161,-0.0012
13.86,-0.0310,-0.0028,-0.0310,-0.0028
14.90,-0.0459,-0.0044,-0.0459,-0.0044
15.95,-0.0608,-0.0060,-0.0608,-0.0060
16.96,-0.0757,-0.0077,-0.0757,-0.0077
18.07,-0.0956,-0.0099,-0.0956,-0.0099
19.14,-0.1105,-0.0116,-0.1105,-0.0116
19.74,-0.0205,-0.0019,-0.0205,-0.0019
20.79,-0.0354,-0.0031,-0.0354,-0.0031
21.87,-0.0504,-0.0044,-0.0504,-0.0044
22.98,-0.0653,-0.0057,-0.0653,-0.0057
24.07,-0.0803,-0.0071,-0.0803,-0.0071
25.14,-0.1002,-0.0089,-0.1002,-0.0089
26.28,-0.1151,-0.0102,-0.1151,-0.0102
27.34,-0.1301,-0.0116,-0.1301,-0.0116
28.34,-0.1450,-0.0130,-0.1450,-0.0130
29.44,-0.1649,-0.0149,-0.1649,-0.0149
30.45,-0.1798,-0.0164,-0.1798,-0.0164
31.46,-0.1948,-0.0179,-0.1948,-0.0179
31.75,-0.0198,0.0021,-0.0198,0.0021
32.84,-0.0347,0.0008,-0.0347,0.0008
33.88,-0.0497,-0.0004,-0.0497,-0.0004
34.96,-0.0646,-0.0017,-0.0646,-0.0017
36.06,-0.0785,-0.0030,-0.0785,-0.0030
40.54,-0.1086,-0.0058,-0.1086,-0.0058
41.04,-0.1688,-0.0052,-0.1688,-0.0052
41.76,-0.2288,-0.0037,-0.2288,-0.0037
42.78,-0.2187,0.0010,-0.2187,0.0010
43.45,-0.1324,0.0094,-0.1324,0.0094
44.44,0.0894,-0.0000,0.0894,-0.0000
45.54,0.0743,0.0025,0.0743,0.0025
46.14,0.0140,0.0046,0.0140,0.0046
46.74,-0.0455,0.0048,-0.0455,0.0048
47.44,0.1655,0.0223,0.1655,0.0223
48.05,0.1057,0.0246,0.1057,0.0246
48.44,0.1667,0.0174,0.1667,0.0174
48.76,0.2928,0.0012,0.2928,0.0012
49.75,0.4632,-0.0075,0.4632,-0.0075
