elapsed_s,x_rel_raw_m,y_rel_raw_m,x_rel_smooth_m,y_rel_smooth_m,x_explored_raw_m,y_explored_raw_m,x_explored_smooth_m,y_explored_smooth_m
18.24,0.0000,0.0000,-0.0077,-0.0005,0.0000,0.0000,-0.0077,-0.0005
22.14,-0.0040,-0.0001,-0.0142,-0.0015,-0.0040,-0.0001,-0.0142,-0.0015
23.24,-0.0190,-0.0014,-0.0209,-0.0032,-0.0190,-0.0014,-0.0209,-0.0032
24.34,-0.0337,-0.0045,-0.0336,-0.0076,-0.0337,-0.0045,-0.0336,-0.0076
25.37,-0.0475,-0.0103,-0.0476,-0.0142,-0.0475,-0.0103,-0.0476,-0.0142
26.44,-0.0639,-0.0217,-0.0598,-0.0226,-0.0639,-0.0217,-0.0598,-0.0226
27.54,-0.0736,-0.0331,-0.0742,-0.0457,-0.0736,-0.0331,-0.0742,-0.0457
28.78,-0.0801,-0.0436,0.0320,-0.0033,-0.0801,-0.0436,0.0320,-0.0033
29.44,-0.1057,-0.1200,0.1387,0.0290,-0.1057,-0.1200,0.1387,0.0290
29.87,0.4834,0.2018,0.2708,0.1104,0.4834,0.2018,0.2708,0.1104
30.44,0.4694,0.1397,0.4039,0.1804,0.4694,0.1397,0.4039,0.1804
31.14,0.5870,0.3741,0.5442,0.2775,0.5870,0.3741,0.5442,0.2775
31.75,0.5852,0.3064,0.5727,0.3393,0.5852,0.3064,0.5727,0.3393
32.15,0.5959,0.3653,0.6037,0.4244,0.5959,0.3653,0.6037,0.4244
32.56,0.6261,0.5112,0.6111,0.4625,0.6261,0.5112,0.6111,0.4625
33.44,0.6242,0.5649,0.6151,0.5174,0.6242,0.5649,0.6151,0.5174
34.44,0.6240,0.5648,0.6198,0.5580,0.6240,0.5648,0.6198,0.5580
35.54,0.6052,0.5810,0.6274,0.5614,0.6052,0.5810,0.6274,0.5614
36.65,0.6197,0.5681,0.6412,0.5490,0.6197,0.5681,0.6412,0.5490
37.24,0.6639,0.5284,0.6492,0.5580,0.6639,0.5284,0.6492,0.5580
38.36,0.6933,0.5026,0.6673,0.5518,0.6933,0.5026,0.6673,0.5518
39.14,0.6641,0.6097,0.6828,0.5483,0.6641,0.6097,0.6828,0.5483
39.74,0.6958,0.5504,0.6921,0.5495,0.6958,0.5504,0.6921,0.5495
40.84,0.6967,0.5502,0.7042,0.5465,0.6967,0.5502,0.7042,0.5465
41.85,0.7108,0.5346,0.7298,0.5142,0.7108,0.5346,0.7298,0.5142
42.84,0.7536,0.4877,0.7383,0.5051,0.7536,0.4877,0.7383,0.5051
43.44,0.7922,0.4480,0.7522,0.4901,0.7922,0.4480,0.7522,0.4901
