elapsed_s,goal_x_m,goal_y_m,frontier_x_m,frontier_y_m
9.25,-0.1351,-0.1626,-0.3268,-0.3934
9.93,-0.5190,0.5403,-0.7268,0.7566
10.53,0.4418,1.5679,0.5232,1.8566
20.61,-0.0467,-0.7698,-0.1095,-1.0631
21.14,-1.2605,-0.0880,-1.5595,-0.1131
22.86,-0.4819,0.5914,-0.7095,0.7869
29.65,-0.6704,-0.4819,-0.9095,-0.6631
30.05,-1.3288,0.5309,-1.6095,0.6369
30.65,-0.9987,1.5336,-1.1595,1.7869
31.14,0.3616,-0.9737,0.4405,-1.2631
32.84,0.4116,1.8883,0.4405,2.1869
39.14,-0.8898,0.9826,-1.1095,1.1869
39.74,-0.0766,-0.7650,-0.1095,-1.0631
