elapsed_s,x_m,y_m
22.40,0.0000,0.0000
29.51,-0.1734,0.1568
31.11,-0.3791,0.1160
32.00,-0.2380,-0.0723
33.00,0.0256,-0.1671
35.31,0.2399,-0.1749
35.60,0.4929,-0.1131
38.94,0.2857,-0.1713
40.01,0.0845,-0.2291
42.80,-0.1172,-0.2872
43.61,0.1003,-0.2511
50.42,0.1070,-0.4563
51.40,0.2810,-0.2519
53.00,0.1350,-0.3907
62.60,0.3274,-0.2811
63.61,0.2712,-0.4850
68.70,0.4334,-0.3275
70.80,0.4517,-0.1045
72.31,0.4079,0.2013
73.61,0.3858,0.4614
75.23,0.5240,0.2934
76.60,0.4460,0.4957
80.40,0.3223,0.6552
82.30,0.4719,0.4894
