elapsed_s,x_rel_raw_m,y_rel_raw_m,x_rel_smooth_m,y_rel_smooth_m,x_explored_raw_m,y_explored_raw_m,x_explored_smooth_m,y_explored_smooth_m
21.49,0.0000,0.0000,-0.0056,-0.0003,0.0000,0.0000,-0.0056,-0.0003
24.00,-0.0008,-0.0000,-0.0118,-0.0013,-0.0008,-0.0000,-0.0118,-0.0013
25.10,-0.0159,-0.0010,-0.0183,-0.0031,-0.0159,-0.0010,-0.0183,-0.0031
26.10,-0.0305,-0.0043,-0.0297,-0.0068,-0.0305,-0.0043,-0.0297,-0.0068
27.19,-0.0443,-0.0102,-0.0429,-0.0127,-0.0443,-0.0102,-0.0429,-0.0127
28.20,-0.0567,-0.0186,-0.0548,-0.0208,-0.0567,-0.0186,-0.0548,-0.0208
29.20,-0.0672,-0.0293,-0.0657,-0.0337,-0.0672,-0.0293,-0.0657,-0.0337
30.29,-0.0755,-0.0418,0.0427,0.0136,-0.0755,-0.0418,0.0427,0.0136
31.39,-0.0848,-0.0689,0.1507,0.0509,-0.0848,-0.0689,0.1507,0.0509
31.99,0.4977,0.2265,0.2052,0.0709,0.4977,0.2265,0.2052,0.0709
32.79,0.4834,0.1680,0.2988,0.1085,0.4834,0.1680,0.2988,0.1085
