elapsed_s,x_rel_m,y_rel_m,x_explored_m,y_explored_m
8.75,0.0000,0.0000,0.0000,0.0000
13.65,-0.0037,-0.0001,-0.0037,-0.0001
14.68,-0.0192,-0.0004,-0.0192,-0.0004
15.75,-0.0435,-0.0083,-0.0435,-0.0083
16.85,-0.0578,-0.0184,-0.0578,-0.0184
17.96,-0.0781,-0.0391,-0.0781,-0.0391
19.05,-0.0984,-0.0669,-0.0984,-0.0669
19.46,-0.1355,-0.1303,-0.1355,-0.1303
19.75,0.3210,0.1805,0.3210,0.1805
20.47,0.3061,0.1206,0.3061,0.1206
20.76,0.3824,0.2707,0.3824,0.2707
21.56,0.4339,0.3720,0.4339,0.3720
22.15,0.4122,0.3078,0.4122,0.3078
