elapsed_s,x_rel_m,y_rel_m
27.60,0.0000,0.0000
30.70,-0.0049,-0.0001
31.71,-0.0199,0.0002
32.71,-0.0348,-0.0014
33.82,-0.0492,-0.0056
34.90,-0.0628,-0.0120
36.01,-0.0791,-0.0235
37.05,-0.0863,-0.0304
38.07,-0.0959,-0.0419
39.22,-0.1016,-0.0502
39.52,0.0408,0.0079
39.94,0.4799,0.1940
41.02,0.4658,0.1676
42.11,0.4612,0.1533
43.20,0.4574,0.1381
44.22,0.4578,0.1440
45.30,0.4322,0.1509
46.36,0.4313,0.1525
46.81,0.4798,0.1679
47.40,0.6733,0.4037
47.78,0.8462,0.6642
48.22,0.9437,0.8213
49.32,0.9523,0.8587
49.43,0.8811,0.8999
50.50,0.8755,0.9135
51.52,0.8737,0.9168
51.80,0.8372,0.8727
52.11,0.6027,0.4678
53.12,0.5999,0.4741
