elapsed_s,x_m,y_m
4.76,0.0000,0.0000
91.73,0.0468,0.2009
93.42,-0.0556,-0.1572
94.92,-0.1569,-0.3443
95.29,-0.0233,-0.0917
95.55,0.0848,0.2304
97.79,0.2835,0.5825
99.22,0.2126,0.3733
99.32,0.0651,0.1124
103.22,-0.1503,0.0976
114.62,0.0027,-0.0802
115.92,-0.1904,-0.0022
119.62,-0.4007,0.1949
119.82,-0.5909,0.3816
122.12,-0.7954,0.6217
125.32,-0.8543,0.8171
146.08,-0.6454,0.8485
147.12,-0.7849,0.6992
147.23,-0.9921,0.6711
148.52,-0.7981,0.5578
150.02,-0.5933,0.5957
150.43,-0.8308,0.6482
150.75,-1.0578,0.7015
152.12,-0.8414,0.5945
153.04,-0.6616,0.4918
154.72,-0.8381,0.5861
155.43,-0.6801,0.4335
163.42,-0.5710,0.2514
166.12,-0.7352,0.0117
