elapsed_s,goal_x_m,goal_y_m,frontier_x_m,frontier_y_m
9.12,-0.8529,0.1288,-1.1495,0.1736
9.72,-0.6488,-1.1170,-0.7995,-1.3764
18.19,-0.0470,-0.7839,-0.0523,-1.0839
18.72,-0.8322,-0.3533,-1.1023,-0.4839
19.23,-0.1820,-1.5846,-0.2023,-1.8839
19.73,-1.4224,-1.1411,-1.6523,-1.3339
27.15,-0.8827,0.1209,-1.1793,0.1661
28.80,-1.5877,-1.8531,-1.7793,-2.0839
31.60,-0.0900,-0.8848,-0.0793,-1.1846
32.29,-0.1666,-1.6849,-0.1793,-1.9846
35.57,-0.8110,-0.3504,-1.0793,-0.4846
39.19,-1.4508,-1.1403,-1.6793,-1.3346
44.30,-0.0831,-0.8846,-0.0793,-1.1846
44.86,-1.0812,0.1314,-1.3793,0.1654
53.01,-0.8004,-0.3742,-1.0793,-0.4846
54.80,-0.1435,-1.6368,-0.1793,-1.9346
56.59,-1.4501,-1.1411,-1.6793,-1.3346
65.90,-1.1813,0.1306,-1.4793,0.1652
68.79,-0.1742,-1.5848,-0.1793,-1.8848
76.98,-0.0599,-0.8854,-0.0793,-1.1848
77.67,-0.2012,-2.2361,-0.2293,-2.5348
78.34,-1.3241,-0.8271,-1.5793,-0.9848
81.68,0.6924,0.5344,0.9309,0.7163
82.20,-0.9756,0.2040,-1.2691,0.2663
89.06,-0.1446,-1.6347,-0.1691,-1.9337
90.60,-1.2713,-0.1472,-1.5691,-0.1837
94.49,0.3790,0.3535,0.6309,0.5163
94.93,-1.4366,-1.0939,-1.6691,-1.2837
101.61,-0.9755,0.2044,-1.2691,0.2663
103.31,-0.1499,-1.6343,-0.1691,-1.9337
107.91,0.7342,0.5957,0.9809,0.7663
109.71,-1.2727,-0.1368,-1.5691,-0.1837
113.72,-1.4342,-1.0970,-1.6691,-1.2837
118.30,-0.9757,0.2033,-1.2691,0.2663
119.88,-0.1629,-1.6337,-0.1691,-1.9337
122.00,0.3748,0.3602,0.6309,0.5163
130.29,0.8559,0.6680,1.0809,0.8663
130.84,-1.2084,-0.7851,-1.4691,-0.9337
132.58,-0.9757,0.2038,-1.2691,0.2663
134.22,-0.1681,-1.6337,-0.1691,-1.9337
141.10,-1.3201,-0.1084,-1.6191,-0.1337
143.17,0.5771,0.4565,0.8309,0.6163
