elapsed_s,x_rel_m,y_rel_m,x_explored_m,y_explored_m
19.42,0.0000,0.0000,0.0000,0.0000
24.43,-0.0053,-0.0001,-0.0053,-0.0001
25.45,-0.0204,-0.0012,-0.0204,-0.0012
26.45,-0.0583,-0.0393,-0.0583,-0.0393
27.04,-0.0767,-0.1050,-0.0767,-0.1050
27.73,-0.0753,-0.1794,-0.0753,-0.1794
28.44,-0.0570,-0.2410,-0.0570,-0.2410
28.87,0.1289,-0.0250,0.1289,-0.0250
29.42,0.1781,-0.0763,0.1781,-0.0763
30.12,0.1387,0.1296,0.1387,0.1296
30.86,0.1982,0.0946,0.1982,0.0946
31.42,0.0453,0.3288,0.0453,0.3288
32.42,-0.1270,0.4652,-0.1270,0.4652
33.42,-0.1551,0.4629,-0.1551,0.4629
34.42,-0.2165,0.4413,-0.2165,0.4413
35.02,-0.2708,0.4078,-0.2708,0.4078
35.72,-0.3306,0.3544,-0.3306,0.3544
36.42,-0.3901,0.2782,-0.3901,0.2782
36.73,-0.1895,0.4224,-0.1895,0.4224
37.02,-0.2319,0.3819,-0.2319,0.3819
37.42,-0.2732,0.3348,-0.2732,0.3348
38.53,-0.3008,0.3375,-0.3008,0.3375
39.02,-0.3540,0.3060,-0.3540,0.3060
39.42,-0.4112,0.2402,-0.4112,0.2402
39.72,-0.3706,0.2992,-0.3706,0.2992
40.04,-0.4354,0.2291,-0.4354,0.2291
40.42,-0.4040,0.2754,-0.4040,0.2754
41.43,-0.4778,0.2250,-0.4778,0.2250
41.74,-0.5275,0.1736,-0.5275,0.1736
