elapsed_s,x_m,y_m
7.15,0.0000,0.0000
29.00,-0.1378,-0.1460
30.35,-0.1174,-0.3772
30.52,0.0148,-0.2094
31.74,0.1683,-0.0392
36.05,0.0758,0.8045
37.82,0.1624,0.5671
40.02,0.1808,0.3606
42.62,0.2758,0.1596
43.62,0.2150,0.3591
43.92,0.1733,0.6021
45.03,0.1062,0.7974
47.63,0.1824,0.6023
52.82,0.2017,0.3984
54.02,0.1965,0.1824
55.42,0.2019,0.4730
60.52,0.2012,0.6798
62.32,0.2096,0.4664
67.25,0.0148,0.3946
68.43,-0.1993,0.4042
68.92,-0.0057,0.4553
69.52,0.2138,0.4716
70.32,0.4140,0.4521
72.12,0.2372,0.5776
74.14,0.4351,0.6455
74.82,0.6117,0.4658
75.42,0.7206,0.2496
82.62,0.8194,0.4253
83.82,0.8439,0.2059
84.52,0.7795,-0.0319
86.02,0.6900,-0.2123
89.53,0.7886,-0.0342
96.62,0.8630,0.2223
97.52,0.8250,0.0021
102.02,0.9805,0.1504
103.72,0.8589,-0.0181
104.42,0.6938,-0.1833
115.22,0.8399,-0.0299
116.53,0.9792,0.1152
117.73,0.8173,-0.0499
118.29,0.6734,-0.2113
119.54,0.5476,-0.3778
121.12,0.6728,-0.1986
