elapsed_s,x_m,y_m
7.28,0.0000,0.0000
28.88,-0.1748,0.1219
32.81,0.3461,-0.2910
34.08,0.2090,-0.1190
37.68,0.0767,0.0477
40.38,-0.0575,0.1998
43.58,-0.2197,0.3340
44.38,-0.0379,0.1890
44.89,0.1029,0.0254
49.19,-0.0399,0.1859
53.98,0.1186,-0.1272
54.78,0.1312,0.0783
56.38,0.0190,0.3336
57.39,0.0371,0.1053
59.09,-0.1691,0.0685
59.81,-0.1014,-0.1450
60.62,0.1083,-0.2213
61.09,0.0257,0.1326
71.48,0.0822,-0.1252
71.80,-0.1958,-0.2000
73.98,0.0493,-0.6545
74.28,-0.1565,-0.5842
74.60,-0.3628,-0.4434
75.82,-0.5163,-0.2949
77.99,-0.4642,-0.0955
78.38,-0.2190,0.0438
78.79,-0.2070,-0.1626
83.58,-0.4701,-0.1217
