elapsed_s,x_m,y_m
12.17,0.0000,0.0000
26.14,0.2216,0.0030
27.19,0.4276,-0.0077
28.49,0.2823,-0.1918
30.85,0.0422,-0.2127
34.14,-0.2498,-0.1168
34.34,-0.4447,0.0041
34.44,-0.4236,0.2984
35.25,-0.3217,0.4752
36.05,-0.1331,0.6080
38.75,-0.3305,0.5518
40.04,-0.3985,0.2911
41.44,-0.3439,0.5017
48.64,-0.3383,0.2790
55.88,-0.3850,0.4771
65.85,-0.0495,0.5384
66.44,0.1357,0.7007
67.84,-0.0578,0.6099
73.45,0.6440,0.8002
74.64,0.3440,0.7882
75.35,0.1427,0.7995
76.16,-0.0694,0.8378
79.95,-0.2748,0.8165
82.45,-0.4659,0.7495
85.94,-0.8285,0.6681
86.14,-0.6495,0.7572
87.95,-0.5752,0.5439
90.54,-0.8015,0.6484
90.75,-0.9998,0.7659
