elapsed_s,x_m,y_m
5.73,0.0000,0.0000
22.89,0.2127,0.0015
26.43,0.0403,-0.1717
29.14,-0.1862,-0.2022
33.22,-0.7505,0.7020
34.99,-0.7911,0.4656
36.12,-0.8589,0.2520
39.28,-0.7821,0.5513
41.90,-1.0002,0.5207
42.10,-1.1649,0.3567
43.18,-1.2477,0.5509
43.58,-0.7810,0.6198
44.08,-0.5749,0.6724
46.38,-0.7769,0.6896
46.99,-0.5744,0.6661
52.21,-0.4123,0.7901
53.19,-0.2174,0.6607
54.88,-0.0360,0.5685
56.36,0.1309,0.3920
59.58,0.3024,-0.0754
59.68,0.2920,-0.3130
63.27,0.1023,-0.6548
63.58,-0.1973,-0.8232
103.18,-0.1863,-0.6146
104.28,0.0295,-0.4905
104.59,0.2635,-0.4943
105.09,0.2085,-0.6918
106.48,0.2622,-0.4986
111.50,0.0750,-0.6453
112.48,-0.1285,-0.6424
113.80,-0.2928,-0.4858
115.08,-0.1472,-0.3400
115.39,0.1157,-0.2444
115.83,0.4160,-0.2941
120.04,0.6005,-0.4631
121.62,0.6993,-0.2854
122.10,0.6474,0.0668
125.29,0.6745,0.2681
129.49,0.8785,0.2389
137.05,0.7331,0.4260
149.28,0.7769,0.6215
