elapsed_s,x_rel_m,y_rel_m
16.31,0.0000,0.0000
20.31,-0.0036,-0.0001
21.31,-0.0187,-0.0006
22.41,-0.0336,-0.0016
23.51,-0.0535,-0.0043
24.64,-0.0679,-0.0082
25.71,-0.0817,-0.0141
26.82,-0.0946,-0.0217
27.91,0.3447,0.0999
28.31,0.4964,0.1423
29.31,0.4880,0.1299
30.41,0.4909,0.1380
31.41,0.4867,0.1303
32.41,0.4815,0.1220
33.51,0.4889,0.1344
34.57,0.4869,0.1279
35.61,0.4835,0.1193
36.61,0.4783,0.1122
37.61,0.4691,0.1003
38.71,0.4812,0.1164
39.81,0.4758,0.1057
40.82,0.4756,0.1050
41.83,0.4780,0.1012
42.91,0.4844,0.0954
43.91,0.5117,0.0834
44.61,0.5751,0.0541
45.62,0.5666,0.0580
45.91,0.7516,0.2904
46.22,0.8845,0.4232
46.91,0.9255,0.3722
47.97,0.9233,0.3743
48.52,0.8352,0.4696
49.21,0.8878,0.4675
49.91,0.9547,0.4646
50.51,1.0278,0.4709
51.23,1.1000,0.4838
51.61,0.9826,0.5182
52.66,1.0095,0.5495
53.02,0.9112,0.5662
