elapsed_s,x_rel_m,y_rel_m,x_explored_m,y_explored_m
17.87,0.0000,0.0000,0.0000,0.0000
34.16,-0.0142,-0.0025,-0.0142,-0.0025
34.76,-0.0741,-0.0121,-0.0741,-0.0121
35.46,-0.1341,-0.0242,-0.1341,-0.0242
36.16,-0.1902,-0.0443,-0.1902,-0.0443
37.26,-0.0591,-0.0175,-0.0591,-0.0175
38.31,-0.0598,-0.0179,-0.0598,-0.0179
38.46,0.1938,0.0598,0.1938,0.0598
39.56,0.1626,0.0457,0.1626,0.0457
40.57,0.1285,0.0245,0.1285,0.0245
41.58,0.1180,0.0149,0.1180,0.0149
42.66,0.1084,0.0033,0.1084,0.0033
42.76,0.2291,0.0715,0.2291,0.0715
43.17,0.4369,0.1866,0.4369,0.1866
