elapsed_s,area_m2,percent_known,known_cells,total_cells
2.87,3.053,44.05,1221,2772
3.49,3.053,44.05,1221,2772
5.50,3.910,45.57,1564,3432
7.86,4.755,49.16,1902,3869
9.57,4.755,49.16,1902,3869
11.48,5.660,39.76,2264,5694
13.69,6.535,33.76,2614,7743
15.49,6.535,33.76,2614,7743
17.55,6.535,33.76,2614,7743
19.74,6.535,33.76,2614,7743
21.85,7.533,36.80,3013,8188
23.79,8.550,32.33,3420,10580
25.49,8.550,32.33,3420,10580
28.17,9.673,30.04,3869,12880
30.13,10.050,31.21,4020,12880
33.15,10.280,31.64,4112,12995
33.62,10.280,31.64,4112,12995
35.69,10.280,31.64,4112,12995
