elapsed_s,area_m2,percent_known,known_cells,total_cells
1.28,4.868,72.68,1947,2679
2.61,4.868,72.68,1947,2679
3.83,4.868,72.68,1947,2679
4.74,4.868,72.68,1947,2679
5.58,4.868,72.68,1947,2679
6.91,4.868,72.68,1947,2679
8.37,4.868,72.68,1947,2679
10.69,4.868,72.68,1947,2679
12.60,4.868,72.68,1947,2679
13.96,4.868,72.68,1947,2679
14.97,4.868,72.68,1947,2679
15.79,4.868,72.68,1947,2679
16.84,4.868,72.68,1947,2679
17.88,4.868,72.68,1947,2679
18.77,4.868,72.68,1947,2679
19.55,4.868,72.68,1947,2679
20.25,4.868,72.68,1947,2679
21.30,4.868,72.68,1947,2679
22.48,4.868,72.68,1947,2679
23.35,4.868,72.68,1947,2679
24.31,4.868,72.68,1947,2679
25.35,4.868,72.68,1947,2679
26.14,4.868,72.68,1947,2679
27.13,4.868,72.68,1947,2679
28.12,4.868,72.68,1947,2679
29.12,4.868,72.68,1947,2679
30.12,4.868,72.68,1947,2679
31.11,4.868,72.68,1947,2679
32.62,5.505,82.19,2202,2679
33.18,5.505,82.19,2202,2679
34.12,5.505,82.19,2202,2679
35.12,5.505,82.19,2202,2679
36.12,5.505,82.19,2202,2679
37.29,5.555,82.94,2222,2679
38.14,5.555,82.94,2222,2679
39.13,5.578,83.28,2231,2679
40.12,5.578,83.28,2231,2679
41.15,5.578,83.28,2231,2679
42.14,5.578,83.28,2231,2679
43.14,5.578,83.28,2231,2679
44.13,5.578,83.28,2231,2679
45.12,5.578,83.28,2231,2679
46.14,5.578,83.28,2231,2679
47.12,5.578,83.28,2231,2679
48.12,5.578,83.28,2231,2679
49.13,5.578,83.28,2231,2679
50.13,5.578,83.28,2231,2679
51.13,5.578,83.28,2231,2679
52.14,5.578,83.28,2231,2679
53.12,5.578,83.28,2231,2679
54.12,5.578,83.28,2231,2679
55.12,5.578,83.28,2231,2679
56.48,5.578,83.28,2231,2679
57.42,5.588,83.43,2235,2679
58.13,5.588,83.43,2235,2679
59.12,5.588,83.43,2235,2679
60.13,5.588,83.43,2235,2679
