elapsed_s,x_rel_raw_m,y_rel_raw_m,x_rel_smooth_m,y_rel_smooth_m,x_explored_raw_m,y_explored_raw_m,x_explored_smooth_m,y_explored_smooth_m
5.57,0.0000,0.0000,-0.0158,0.0185,0.0000,0.0000,-0.0158,0.0185
12.67,-0.0018,0.0009,-0.0313,0.0387,-0.0018,0.0009,-0.0313,0.0387
13.47,-0.0456,0.0548,-0.0466,0.0594,-0.0456,0.0548,-0.0466,0.0594
14.23,-0.0777,0.0992,-0.0511,0.0730,-0.0777,0.0992,-0.0511,0.0730
14.86,-0.1081,0.1423,-0.0441,0.0757,-0.1081,0.1423,-0.0441,0.0757
15.75,-0.0225,0.0676,-0.0353,0.0788,-0.0225,0.0676,-0.0353,0.0788
15.98,0.0333,0.0147,0.0056,0.0344,0.0333,0.0147,0.0056,0.0344
16.60,-0.0018,0.0703,0.0696,-0.0439,-0.0018,0.0703,0.0696,-0.0439
17.06,0.1273,-0.1229,0.1399,-0.1461,0.1273,-0.1229,0.1399,-0.1461
17.27,0.2118,-0.2491,0.1881,-0.2304,0.2118,-0.2491,0.1881,-0.2304
18.07,0.3288,-0.4438,0.2325,-0.3193,0.3288,-0.4438,0.2325,-0.3193
18.67,0.2745,-0.4064,0.2396,-0.3636,0.2745,-0.4064,0.2396,-0.3636
19.27,0.2199,-0.3742,0.2234,-0.3708,0.2199,-0.3742,0.2234,-0.3708
19.87,0.1628,-0.3444,0.1906,-0.3420,0.1628,-0.3444,0.1906,-0.3420
20.49,0.1311,-0.2852,0.1987,-0.3367,0.1311,-0.2852,0.1987,-0.3367
21.56,0.1649,-0.2999,0.2380,-0.3484,0.1649,-0.2999,0.2380,-0.3484
21.76,0.3147,-0.3798,0.2934,-0.3667,0.3147,-0.3798,0.2934,-0.3667
21.86,0.4163,-0.4324,0.3582,-0.3972,0.4163,-0.4324,0.3582,-0.3972
22.87,0.4399,-0.4361,0.4066,-0.4216,0.4399,-0.4361,0.4066,-0.4216
23.87,0.4554,-0.4378,0.4372,-0.4355,0.4554,-0.4378,0.4372,-0.4355
