elapsed_s,x_rel_m,y_rel_m,x_explored_m,y_explored_m
5.57,0.0000,0.0000,0.0000,0.0000
12.67,-0.0018,0.0009,-0.0018,0.0009
13.47,-0.0456,0.0548,-0.0456,0.0548
14.23,-0.0777,0.0992,-0.0777,0.0992
14.86,-0.1081,0.1423,-0.1081,0.1423
15.75,-0.0225,0.0676,-0.0225,0.0676
15.98,0.0333,0.0147,0.0333,0.0147
16.60,-0.0018,0.0703,-0.0018,0.0703
17.06,0.1273,-0.1229,0.1273,-0.1229
17.27,0.2118,-0.2491,0.2118,-0.2491
18.07,0.3288,-0.4438,0.3288,-0.4438
18.67,0.2745,-0.4064,0.2745,-0.4064
19.27,0.2199,-0.3742,0.2199,-0.3742
19.87,0.1628,-0.3444,0.1628,-0.3444
20.49,0.1311,-0.2852,0.1311,-0.2852
21.56,0.1649,-0.2999,0.1649,-0.2999
21.76,0.3147,-0.3798,0.3147,-0.3798
21.86,0.4163,-0.4324,0.4163,-0.4324
22.87,0.4399,-0.4361,0.4399,-0.4361
23.87,0.4554,-0.4378,0.4554,-0.4378
