elapsed_s,x_m,y_m
6.75,0.0000,0.0000
26.67,-0.0557,-0.2136
31.28,-0.2582,-0.2602
43.06,-0.1429,-0.0495
61.66,-0.3454,-0.0439
87.47,-0.1035,-0.1028
88.67,-0.2491,0.1204
90.58,-0.1082,-0.1416
91.39,-0.0480,-0.3559
93.87,0.0097,-0.5732
94.43,-0.1145,-0.1333
95.65,-0.1825,0.0833
96.27,-0.1372,-0.1225
96.37,-0.2249,0.2109
96.47,-0.3441,0.5421
96.78,-0.2737,0.3480
109.57,-0.3453,0.5421
110.27,-0.1672,0.4372
111.36,-0.0343,0.2461
112.47,-0.0166,-0.0095
113.57,-0.2002,-0.2461
120.97,-0.4586,-0.3945
121.86,-0.6701,-0.3024
