elapsed_s,x_rel_raw_m,y_rel_raw_m,x_rel_smooth_m,y_rel_smooth_m,x_explored_raw_m,y_explored_raw_m,x_explored_smooth_m,y_explored_smooth_m
18.09,0.0000,0.0000,-0.0060,-0.0001,0.0000,0.0000,-0.0060,-0.0001
22.23,-0.0016,-0.0000,-0.0124,-0.0002,-0.0016,-0.0000,-0.0124,-0.0002
23.29,-0.0165,-0.0003,-0.0202,-0.0006,-0.0165,-0.0003,-0.0202,-0.0006
24.40,-0.0315,-0.0005,-0.0334,-0.0017,-0.0315,-0.0005,-0.0334,-0.0017
25.50,-0.0514,-0.0022,-0.0495,-0.0041,-0.0514,-0.0022,-0.0495,-0.0041
26.59,-0.0660,-0.0055,-0.0652,-0.0081,-0.0660,-0.0055,-0.0652,-0.0081
27.69,-0.0821,-0.0120,-0.0808,-0.0148,-0.0821,-0.0120,-0.0808,-0.0148
28.83,-0.0951,-0.0202,-0.0076,0.0086,-0.0951,-0.0202,-0.0076,0.0086
29.89,-0.1097,-0.0340,0.0659,0.0295,-0.1097,-0.0340,0.0659,0.0295
30.29,0.3150,0.1146,0.1404,0.0479,0.3150,0.1146,0.1404,0.0479
31.36,0.3014,0.0991,0.2164,0.0641,0.3014,0.0991,0.2164,0.0641
32.40,0.2902,0.0800,0.2952,0.0821,0.2902,0.0800,0.2952,0.0821
33.49,0.2850,0.0608,0.2889,0.0690,0.2850,0.0608,0.2889,0.0690
34.57,0.2845,0.0562,0.3166,0.1098,0.2845,0.0562,0.3166,0.1098
35.59,0.2837,0.0490,0.3930,0.2273,0.2837,0.0490,0.3930,0.2273
35.84,0.4397,0.3030,0.4720,0.3411,0.4397,0.3030,0.4720,0.3411
36.20,0.6720,0.6677,0.5520,0.4516,0.6720,0.6677,0.5520,0.4516
37.32,0.6800,0.6297,0.6313,0.5684,0.6800,0.6297,0.6313,0.5684
38.32,0.6845,0.6084,0.6798,0.6321,0.6845,0.6084,0.6798,0.6321
39.39,0.6801,0.6330,0.6847,0.6087,0.6801,0.6330,0.6847,0.6087
40.39,0.6822,0.6217,0.6885,0.5906,0.6822,0.6217,0.6885,0.5906
40.79,0.6967,0.5505,0.6895,0.5878,0.6967,0.5505,0.6895,0.5878
41.80,0.6992,0.5392,0.6916,0.5796,0.6992,0.5392,0.6916,0.5796
42.59,0.6892,0.5947,0.6958,0.5634,0.6892,0.5947,0.6958,0.5634
43.68,0.6908,0.5918,0.6978,0.5534,0.6908,0.5918,0.6978,0.5534
44.19,0.7028,0.5409,0.6945,0.5637,0.7028,0.5409,0.6945,0.5637
45.21,0.7071,0.5001,0.6933,0.5552,0.7071,0.5001,0.6933,0.5552
45.59,0.6828,0.5912,0.6892,0.5714,0.6828,0.5912,0.6892,0.5714
46.59,0.6830,0.5522,0.6822,0.6020,0.6830,0.5522,0.6822,0.6020
47.49,0.6703,0.6725,0.6760,0.6275,0.6703,0.6725,0.6760,0.6275
48.59,0.6678,0.6941,0.6737,0.6396,0.6678,0.6941,0.6737,0.6396
