elapsed_s,x_rel_raw_m,y_rel_raw_m,x_rel_smooth_m,y_rel_smooth_m,x_explored_raw_m,y_explored_raw_m,x_explored_smooth_m,y_explored_smooth_m
18.38,0.0000,0.0000,-0.0241,-0.0127,0.0000,0.0000,-0.0241,-0.0127
24.66,-0.0139,-0.0013,-0.0318,-0.0187,-0.0139,-0.0013,-0.0318,-0.0187
25.36,-0.0585,-0.0369,-0.0369,-0.0224,-0.0585,-0.0369,-0.0369,-0.0224
26.37,-0.0548,-0.0367,-0.0499,-0.0315,-0.0548,-0.0367,-0.0499,-0.0315
27.46,-0.0571,-0.0372,-0.0506,-0.0279,-0.0571,-0.0372,-0.0506,-0.0279
28.56,-0.0649,-0.0454,-0.0494,-0.0228,-0.0649,-0.0454,-0.0494,-0.0228
28.66,-0.0176,0.0168,-0.0553,-0.0074,-0.0176,0.0168,-0.0553,-0.0074
29.67,-0.0524,-0.0114,-0.0670,0.0188,-0.0524,-0.0114,-0.0670,0.0188
30.39,-0.0843,0.0402,-0.0835,0.0565,-0.0843,0.0402,-0.0835,0.0565
31.19,-0.1157,0.0939,-0.1131,0.0867,-0.1157,0.0939,-0.1131,0.0867
31.69,-0.1476,0.1431,-0.1969,0.1013,-0.1476,0.1431,-0.1969,0.1013
33.12,-0.1653,0.1676,-0.2792,0.1166,-0.1653,0.1676,-0.2792,0.1166
33.66,-0.4714,0.0618,-0.3611,0.1316,-0.4714,0.0618,-0.3611,0.1316
33.86,-0.4957,0.1167,-0.4157,0.0499,-0.4957,0.1167,-0.4157,0.0499
33.96,-0.5255,0.1691,-0.4642,-0.0390,-0.5255,0.1691,-0.4642,-0.0390
34.66,-0.4205,-0.2657,-0.4144,-0.1594,-0.4205,-0.2657,-0.4144,-0.1594
35.81,-0.4077,-0.2769,-0.3553,-0.2931,-0.4077,-0.2769,-0.3553,-0.2931
36.16,-0.2226,-0.5404,-0.2825,-0.4402,-0.2226,-0.5404,-0.2825,-0.4402
37.16,-0.2002,-0.5516,-0.2481,-0.4838,-0.2002,-0.5516,-0.2481,-0.4838
38.31,-0.1617,-0.5665,-0.1948,-0.5528,-0.1617,-0.5665,-0.1948,-0.5528
